var;category;var_name;data_type;missing_value
cntry ;;cntry - Country;nominal;
tvpol ;news intake;tvpol - TV watching, news/politics/current affairs on average weekday;ordinal;c(66,77,88,99)
ppltrst ;trust people;ppltrst - Most people can be trusted or you can't be too careful;ordinal;c(77,88,99)
polintr ;politics;polintr - How interested in politics;ordinal;c(7,8,9)
lrscale ;party;lrscale - Placement on left right scale;ordinal;c(77,88,99)
stflife ;party;stflife - How satisfied with life as a whole;ordinal;c(77,88,99)
stfeco ;party;stfeco - How satisfied with present state of economy in country;ordinal;c(77,88,99)
freehms ;country;freehms - Gays and lesbians free to live life as they wish;ordinal;c(7,8,9)
imwbcnt ;immigrant;imwbcnt - Immigrants make country worse or better place to live;ordinal;c(77,88,99)
happy ;happy;happy - How happy are you;ordinal;c(77,88,99)
crmvct ;safe;crmvct - Respondent or household member victim of burglary/assault last 5 years;nominal;c(7,8,9)
aesfdrk ;safe;aesfdrk - Feeling of safety of walking alone in local area after dark;ordinal;c(7,8,9)
rlgblg ;religion;rlgblg - Belonging to particular religion or denomination;nominal;c(7,8,9)
rlgdgr ;religion;rlgdgr - How religious are you;ordinal;c(77,88,99)
brncntr ;personal info;brncntr - Born in country;nominal;c(7,8,9)
blgetmg ;personal info;blgetmg - Belong to minority ethnic group in country;nominal;c(7,8,9)
acetalv ;immigrant;acetalv - People of minority race/ethnic group in current living area;ordinal;c(7,8,9)
noimbro ;immigrant;noimbro - Of every 100 people in country how many born outside country;continuous;c(777,888,999)
qfimedu ;immigrant;qfimedu - Qualification for immigration: good educational qualifications;ordinal;c(77,88,99)
qfimlng ;immigrant;qfimlng - Qualification for immigration: speak country's official language;ordinal;c(77,88,99)
qfimwsk ;immigrant;qfimwsk - Qualification for immigration: work skills needed in country;ordinal;c(77,88,99)
qfimcmt ;immigrant;qfimcmt - Qualification for immigration: committed to way of life in country;ordinal;c(77,88,99)
imtcjob ;immigrant;imtcjob - Immigrants take jobs away in country or create new jobs;ordinal;c(77,88,99)
imbleco ;immigrant;imbleco - Taxes and services: immigrants take out more than they put in or less;ordinal;c(77,88,99)
imwbcrm ;immigrant;imwbcrm - Immigrants make country's crime problems worse or better;ordinal;c(77,88,99)
dfegcf ;race;dfegcf - Different race or ethnic group: have any close friends;ordinal;c(7,8,9)
dfeghbg ;race;dfeghbg - Different race or ethnic group: contact, how bad or good;ordinal;c(66,77,88,99)
fclcntr ;country closeness;fclcntr - Feel close to country;ordinal;c(7,8,9)
smegbli ;race;smegbli - Some races or ethnic groups: born less intelligent;nominal;c(7,8,9)
smegbhw ;race;smegbhw - Some races or ethnic groups: born harder working;nominal;c(7,8,9)
smctmbe ;race;smctmbe - Some cultures: much better or all equal;nominal;c(7,8,9)
gndr ;personal info;gndr - Gender;nominal;c(9)
agea ;personal info;agea - Age of respondent, calculated;continuous;c(999)
marsts ;relationship;marsts - Legal marital status;nominal;c(66, 77,88,99)
chldhm ;children;chldhm - Children living at home or not;nominal;c(9)
eisced ;personal info;eisced - Highest level of education, ES - ISCED;nominal;c(77,88,99)
eduyrs ;personal info;eduyrs - Years of full-time education completed;continuous;c(77,88,99)
pdjobev ;job;pdjobev - Ever had a paid job;nominal;c(6, 7,8,9)
ipeqopt ;values;ipeqopt - Important that people are treated equally and have equal opportunities;ordinal;c(7,8,9)
impsafe ;values;impsafe - Important to live in secure and safe surroundings;ordinal;c(7,8,9)
