"employee_id","connection_count","connection_type"
"t_1",500,1
"t_2",165,0
"t_3",335,0
"t_4",500,1
"t_5",224,0
"t_6",407,0
"t_7",431,0
"t_8",500,1
"t_9",500,1
"t_10",259,0
"t_11",500,1
"t_12",500,1
"t_13",500,1
"t_14",500,1
"t_15",500,1
"t_16",500,1
"t_17",500,1
"t_18",319,0
"t_19",195,0
"t_20",500,1
"t_21",500,1
"t_22",500,1
"t_23",154,0
"t_24",500,1
"t_25",500,1
"t_26",278,0
"t_27",500,1
"t_28",500,1
"t_29",500,1
"t_30",219,0
"t_31",500,1
"t_32",382,0
"t_33",347,0
"t_34",500,1
"t_35",177,0
"t_36",310,0
"t_37",500,1
"t_38",132,0
"t_39",341,0
"t_40",259,0
"t_41",500,1
"t_42",306,0
"t_43",157,0
"t_44",379,0
"t_45",500,1
"t_46",500,1
"t_47",500,1
"t_48",500,1
"t_49",115,0
"t_50",500,1
"t_51",482,0
"t_52",500,1
"t_53",425,0
"t_54",500,1
"t_55",198,0
"t_56",480,0
"t_57",500,1
"t_58",294,0
"t_59",185,0
"t_60",500,1
"t_61",208,0
"t_62",188,0
"t_63",500,1
"t_64",459,0
"t_65",500,1
"t_66",103,0
"t_67",489,0
"t_68",84,0
"t_69",500,1
"t_70",328,0
"t_71",454,0
"t_72",283,0
"t_73",500,1
"t_74",500,1
"t_75",427,0
"t_76",500,1
"t_77",494,0
"t_78",339,0
"t_79",500,1
"t_80",500,1
"t_81",459,0
"t_82",500,1
"t_83",438,0
"t_84",161,0
"t_85",217,0
"t_86",205,0
"t_87",500,1
"t_88",206,0
"t_89",396,0
"t_90",500,1
"t_91",356,0
"t_92",240,0
"t_93",500,1
"t_94",500,1
"t_95",296,0
"t_96",226,0
"t_97",500,1
"t_98",479,0
"t_99",500,1
"t_100",319,0
"t_101",500,1
"t_102",474,0
"t_103",161,0
"t_104",274,0
"t_105",500,1
"t_106",500,1
"t_107",221,0
"t_108",500,1
"t_109",500,1
"t_110",500,1
"t_111",500,1
"t_112",32,0
"t_113",367,0
"t_114",208,0
"t_115",439,0
"t_116",211,0
"t_117",500,1
"t_118",500,1
"t_119",296,0
"t_120",318,0
"t_121",500,1
"t_122",500,1
"t_123",500,1
"t_124",168,0
"t_125",500,1
"t_126",245,0
"t_127",500,1
"t_128",500,1
"t_129",500,1
"t_130",500,1
"t_131",395,0
"t_132",351,0
"t_133",488,0
"t_134",500,1
"t_135",371,0
"t_136",NA,0
"t_137",500,1
"t_138",500,1
"t_139",222,0
"t_140",189,0
"t_141",269,0
"t_142",239,0
"t_143",500,1
"t_144",424,0
"t_145",247,0
"t_146",500,1
"t_147",500,1
"t_148",283,0
"t_149",202,0
"t_150",417,0
"t_151",179,0
"t_152",500,1
"t_153",428,0
"t_154",500,1
"t_155",500,1
"t_156",500,1
"t_157",500,1
"t_158",147,0
"t_159",500,1
"t_160",486,0
"t_161",289,0
"t_162",500,1
"t_163",500,1
"t_164",500,1
"t_165",500,1
"t_166",500,1
"t_167",500,1
"t_168",500,1
"t_169",500,1
"t_170",394,0
"t_171",500,1
"t_172",97,0
"t_173",296,0
"t_174",500,1
"t_175",500,1
"t_176",374,0
"t_177",500,1
"t_178",500,1
"t_179",500,1
"t_180",500,1
"t_181",500,1
"t_182",40,0
"t_183",132,0
"t_184",415,0
"t_185",500,1
"t_186",264,0
"t_187",326,0
"t_188",500,1
"t_189",239,0
"t_190",500,1
"t_191",399,0
"t_192",500,1
"t_193",500,1
"t_194",500,1
"t_195",500,1
"t_196",269,0
"t_197",500,1
"t_198",500,1
"t_199",327,0
"t_200",500,1
"t_201",500,1
"t_202",500,1
"t_203",500,1
"t_204",500,1
"t_205",500,1
"t_206",500,1
"t_207",500,1
"t_208",500,1
"t_209",500,1
"t_210",322,0
"t_211",500,1
"t_212",500,1
"t_213",493,0
"t_214",173,0
"t_215",500,1
"t_216",106,0
"t_217",500,1
"t_218",400,0
"t_219",500,1
"t_220",357,0
"t_221",500,1
"t_222",500,1
"t_223",321,0
"t_224",500,1
"t_225",500,1
"t_226",500,1
"t_227",500,1
"t_228",500,1
"t_229",500,1
"t_230",500,1
"t_231",500,1
"t_232",85,0
"t_233",500,1
"t_234",500,1
"t_235",500,1
"t_236",500,1
"t_237",269,0
"t_238",500,1
