"employee_id","schoolName","fieldOfStudy","degreeName","start_year","start_month","end_year","end_month"
"t_1","KU Leuven","Statistics","Master of Science (MSc)",NA,NA,2014,NA
"t_1","Universiteit Leiden","Methodology and Statistics","Master’s Erasmus Exchange Programme",NA,NA,NA,NA
"t_2","KU Leuven","Statistics","Master's degree",2016,NA,2018,NA
"t_2","University of Warwick","Mathematics","Bachelors",2011,NA,2014,NA
"t_3","KU Leuven","Statistics and Data Science","Master of Science - MS",2020,9,2022,9
"t_3","North Carolina State University","Industrial Engineering","Bachelor of Science - BS",2015,NA,2019,NA
"t_3","Indian School Muscat",NA,"High School",2001,NA,2014,NA
"t_4","Alma Mater Studiorum - Università di Bologna","Statistical Sciences - curriculum Data Science","Master's dregree",2019,1,2021,10
"t_4","Katholieke Universiteit Leuven","Master in Statistics","Erasmus",2020,9,2021,2
"t_4","Alma Mater Studiorum - Università di Bologna","Statistics and Mathematics","Bachelor's degree",2016,1,2019,7
"t_5","KU Leuven","Statistics","Master of Science (M.Sc.)",2014,NA,2018,NA
"t_5","Tecnológico de Monterrey","Finance and Financial Management Services","Bachelor of Arts (B.A.)",2009,NA,2014,NA
"t_5","Fachhochschule Pforzheim - Hochschule für Gestaltung, Technik und Wirtschaft",NA,NA,2011,NA,2012,NA
"t_6","KU Leuven","Business Statistics","Masters in Statistics and Data Science",2020,9,2022,9
"t_6","Shaheed Sukhdev College Of Business Studies","Computer Science","Bachelor of Science",2015,NA,2018,NA
"t_7","KU Leuven","Artificial Intelligence","Master's degree",2019,NA,2020,NA
"t_7","University of Antwerp","Business Engineering","Master's degree",2016,NA,2018,NA
"t_7","University of International Business and Economics","Business","Summer School",2017,NA,2017,NA
"t_8","University of Leuven","Statistics","Master of Science (MSc)",2015,NA,2017,NA
"t_8","Leiden University","Psychology","Bachelor of Science (BSc)",2012,NA,2015,NA
"t_8","Coventry University","Minor, Erasmus Programme",NA,2014,NA,2015,NA
"t_9","KU Leuven","Intellectual Property & ICT Law","Master of Laws - LLM",2019,NA,2020,NA
"t_9","Xiamen University","Intellectual Property Law","Summer School",2018,NA,2018,NA
"t_9","Renmin University of China","International Business, Trade, and Tax Law","Exchange",2015,NA,2016,NA
"t_10","KU Leuven","Artificial Intelligence","Master's degree",2019,NA,2021,NA
"t_10","ITM University, Gurgaon","Computer Science","Bachelor of Technology (BTech)",2009,NA,2013,NA
"t_11","KU Leuven","Statistics and Data Science","Master of Science - MS",2020,9,2023,1
"t_11","KU Leuven","Economics","Master of Science - MS",2017,NA,2019,NA
"t_11","KU Leuven","Mathematics","Bachelor of Science - BS (Credits)",2013,NA,2016,NA
"t_12","KU Leuven","Statistics and Data Science (Study Track: Biometrics)","Master",2020,NA,2022,NA
"t_12","Gauhati University","Statistics","B.Sc. (Major)",2016,NA,2019,NA
"t_12","Ramanujan Junior College, Nagaon","Science","Higher Secondary (10+2)",2014,NA,2016,NA
"t_13","University of California, Berkeley","Robotics and Embedded Software","Master of Engineering - MEng",2021,NA,2022,NA
"t_13","KU Leuven","Management","Master's degree",2020,NA,2021,NA
"t_13","KU Leuven","Computer Science and Electrical Engineering","Bachelor of Science - BS",2017,NA,2020,NA
"t_14","KU Leuven","European Studies","Master's degree",2019,NA,2020,NA
"t_14","The London School of Economics and Political Science (LSE)","Economics","Diploma for Graduates (60 ECTS)",NA,NA,2015,NA
"t_14","Université libre de Bruxelles","Research Neuropsychology","MA",2008,NA,2010,NA
"t_15","KU Leuven","Statistics","Doctor of Philosophy - PhD",2019,NA,2023,NA
"t_15","Instituto Tecnológico Autónomo de México","Computer Science","Master’s Degree",2016,NA,2017,NA
"t_15","Instituto Tecnológico Autónomo de México / ITAM","Applied Mathematics","Bachelor’s Degree",NA,NA,2015,NA
"t_16","Ironhack","Data Modeling/Warehousing, Database Administration and Machine Learning","Data Analytics",2020,NA,2020,NA
"t_16","KU Leuven","Master of Business Administration (MSc): Major in Business Information Management","Master's degree",2019,NA,2020,NA
"t_16","Hanyang University","Business Administration and Management, General","Bachelor of Business Administration - BBA",2018,NA,2019,NA
"t_17","University of Leuven","Electrical and Electronics Engineering","Doctor of Philosophy (PhD)",2015,NA,2019,NA
"t_17","Eindhoven University of Technology","Sustainable Energy Technology (SET)","Master of Science (MS)",NA,NA,NA,NA
"t_17","Politecnico di Torino","Energy and Nuclear Engineering","Master of Science (M.S.)",NA,NA,NA,NA
"t_18","KU Leuven","Statistics and Data Science","Master of Science - MS",2020,NA,2022,NA
"t_18","Orta Doğu Teknik Üniversitesi / Middle East Technical University","Business Administration","Bachelor's degree",2014,NA,2019,NA
"t_18","TalTech – Tallinn University of Technology",NA,NA,2019,NA,2019,NA
"t_19","Erasmushogeschool Brussel","Applied Artificial Intelligence","Postgraduate Degree",2022,9,2023,9
"t_19","KU Leuven","Statistics and Data Science ","Master's degree",2020,1,2023,7
"t_19","UGent","Social Sciences","Bachelor of Science - BS",2017,NA,2020,NA
"t_20","Katholieke Universiteit Leuven","Statistics","Master’s Degree",2014,NA,2016,NA
"t_20","KU Leuven","Physics","master of PHysics",2012,NA,2015,NA
"t_21","Fundação Getulio Vargas","Computational and Applied Mathematics","Postdoctorate",2014,NA,2015,NA
"t_21","KU Leuven","Computational and Applied Mathematics","Postdoctorate",2013,NA,2014,NA
"t_21","Université de Savoie","Computational and Applied Mathematics","Postdoctorate",2012,NA,2012,NA
"t_22","Cambridge Spark","Machine learning and AI","Applied Data Science",2017,NA,2018,NA
"t_22","University of Antwerp","Manama Macro Economics","Applied Economic Science (Adv. MSc)",2015,NA,2016,NA
"t_22","KU Leuven","Accountancy & Tax","Applied Business Science (MSc)",2014,NA,2015,NA
"t_23","KU Leuven","Statistics and Data Science for Social, Behavioral and Educational Sciences","Master of Statistics and Data Science",2021,NA,2024,NA
"t_23","KU Leuven","Theory and Research","Master of Psychology",2019,NA,2021,NA
"t_23","KU Leuven","Psychology","Bachelor's degree",2016,NA,2019,NA
"t_24","KU Leuven","Master in Management (Bedrijfskunde), Faculteit Economie en Bedrijfswetenschappen","Master of Science - MBA",2020,9,2021,6
"t_24","KU Leuven",NA,"Creditcontract: Faculteit Economie en Bedrijfswetenschappen",2021,9,2022,6
"t_24","UHasselt","Industriële Ingenieurswetenschappen - Energie/Elektromechanica optie Elektrotechniek (Ir.)","Master of Science",2018,9,2020,6
"t_25","KU Leuven","Artificial Intelligence","Master's degree",2019,NA,2021,NA
"t_25","SVKM's Narsee Monjee Institute of Management Studies (NMIMS)","Statistics","Master of Science - MS",2014,NA,2016,NA
"t_25","Ramnarain Ruia College - Mumbai","Statistics","Bachelor of Science - BS",2011,NA,2014,NA
"t_26","University of Antwerp","Bioinformatics","Doctor of Science",2016,10,2021,7
"t_26","Universiteit Hasselt","Statistical Bioinformatics","Master of Statistics - Bioinformatics",2014,NA,2016,NA
"t_26","University of Leuven","Biology, General","Master of Science (M.Sc.)",2011,NA,2014,NA
"t_27","KU Leuven","Mathematical Engineering","Master's degree",2015,NA,2017,NA
"t_27","National & Kapodistrian University of Athens","Mathematics","Bachelor's degree",NA,NA,NA,NA
"t_28","Université Claude Bernard Lyon 1","Biomedical/Medical Engineering","Doctor of Philosophy - PhD",2014,NA,2017,NA
"t_28","KU Leuven","Biomedical/Medical Engineering","Doctor of Philosophy - PhD",2013,NA,2017,NA
"t_28","University POLITEHNICA of Bucharest","Information Technology and Computing - “Imagistics, Bioinformatics, and Complex Systems” ","Master of Science - MS",2010,NA,2012,NA
"t_29","Kellogg Executive Education","Organizational Leadership","Leading with big data and analitycs",2018,NA,2018,NA
"t_29","Ghent University","Bioinformatics","Doctor of Philosophy (PhD)",2012,NA,2016,NA
"t_29","University of Leuven","Biological/Biosystems Engineering","Doctor of Philosophy (PhD)",2012,NA,2016,NA
"t_30","KU Leuven","Statistical modelling","PhD",2022,10,2026,10
"t_30","KU Leuven","Statistics and Data Science","Master of Science - MS",2019,9,2021,9
"t_30","Universiteit Antwerpen","Communication","Bachelor ",2016,9,2019,7
"t_31","GrowForce Academy","Growth Marketing","Online Growth Marketeer",2020,NA,2020,NA
"t_31","Ghent University","Advanced Master of Science in Marketing Analytics","Advanced Master",2019,NA,2020,NA
"t_31","KU Leuven","Marketing  / Commerciële economie (CE) - Specialisatie marketing management","Master's degree",2018,NA,2019,NA
"t_32","KU Leuven","Biomedical Sciences, General","PhD researcher",2022,2,2025,10
"t_32","KU Leuven","Statistics and Data Science","Master of Science - MS",2019,9,2021,9
"t_32","Universidad Nacional de Colombia","Estadística","Bachelor of Science (BS)",2011,NA,2016,NA
"t_33","University of Leuven","Statistics","Master of Science (M.S.)",2015,NA,2017,NA
"t_33","Johns Hopkins University on Coursera",NA,"Specialization Certificate, Data Science",2014,NA,2015,NA
"t_33","California State University-Northridge","Finance","Bachelor of Science",NA,NA,NA,NA
"t_34","Katholieke Universiteit Leuven","Business Economics","Master’s Degree",2013,NA,2014,NA
"t_34","Istanbul University","Economics (in English)","Bachelor’s Degree",2007,NA,2012,NA
"t_34","Ekonomická univerzita v Bratislave",NA,"Erasmus Exchange Program",2010,NA,2011,NA
"t_35","KU Leuven",NA,"Doctoral Programme in Engineering Technology and Psychology",2020,7,2024,6
"t_35","KU Leuven","Information Management","Master of Science",2019,NA,2020,NA
"t_35","KU Leuven","Artificial Intelligence","Master of Science",2018,NA,2019,NA
"t_36","KU Leuven","urn:li:fs_fieldOfStudy:101474","Additonal finance courses  (completed)",2015,NA,2018,NA
"t_36","KU Leuven","Actuarial Science","Master in the Science of Financial and Actuarial Engineering",2012,NA,2016,NA
"t_36","KU Leuven","Mathematics and Statistics","Master in the Science of Statistics",2005,NA,2008,NA
"t_37","University of Leuven","Statistics","Master's degree",2015,NA,2018,NA
"t_37","M.O.P. Vaishnav College For Women","Mathematics","Bachelor's degree",2012,NA,2015,NA
"t_38","KU Leuven",NA,"Master of Statistics and Data Science",2021,9,2023,6
"t_38","KU Leuven","Business Administration and Management, Statistics and Data Analysis","Bachelor of Business Administration - BBA",2018,NA,2021,NA
"t_39","University of Antwerp","Physics - Statistical Mechanics","Doctor of Philosophy (Ph.D.)",2001,NA,2006,NA
"t_39","KU Leuven","Big Data & Analytics in Business and Management","Postgraduate",2017,NA,2017,NA
"t_39","Ankara Üniversitesi","Physics","Bachelor’s Degree",1996,NA,2000,NA
"t_40","KU Leuven","Statistics","Master's degree",2017,NA,2019,NA
"t_40","KU Leuven","Psychologie","Bachelorgraad",2014,10,2017,6
"t_41","KU Leuven","Innovation and Entrepreneurship","Postgraduate",2014,NA,2015,NA
"t_41","KU Leuven","Computer Engineering - Human Computer Interaction","Master of Engineering (MEng)",2012,NA,2014,NA
"t_41","KU Leuven","Electrical and Electronics Engineering and Computer Science","Bachelor of Engineering (BEng)",2009,NA,2012,NA
"t_42","KU Leuven","Nuclear Physics","Master's degree",2011,NA,2016,NA
"t_43","KU Leuven","Statistics and Data Science","Master of Science - MS",2020,NA,2022,NA
"t_43","KU Leuven","Psychology","Bachelor's degree",2017,NA,2020,NA
"t_43","Kunstschool Genk","Architecturale Vorming (ARV)","Kunstsecundair onderwijs (KSO)",2012,NA,2016,NA
"t_44","KU Leuven","Statistics and Data Science","Master of Science - MS",2020,NA,2024,NA
"t_44","KU Leuven","Master of Science - MSc, Psychology - Theory & Research","Master of Science - MS",2017,NA,2020,NA
"t_44","Vrije Universiteit Brussel","Psychology (Biological and Lifespan)","Bachelor of Science - BS",2014,NA,2017,NA
"t_45","The University of Hong Kong","Computational Vision","Doctor of Philosophy - PhD",2015,NA,2018,NA
"t_45","University of Leuven","Artificial Intelligence","Master’s Degree",2013,NA,2015,NA
"t_45","Maastricht University","Neuroimaging","Research Master’s Degree",2011,NA,2013,NA
"t_46","Barcelona Graduate School of Economics","Data Science","Master's degree",2017,NA,2018,NA
"t_46","Barcelona Graduate School of Economics","Barcelona Macroeconometrics Summer School (BMaSS)",NA,2015,NA,2015,NA
"t_46","Lake Como School of Advanced Studies","Summer School in Modern Bayesian Methods and Computing for the Social Sciences",NA,2015,NA,2015,NA
"t_47","KU Leuven","Statistics and Data Science","Master's degree",2020,NA,2023,NA
"t_47","Istanbul Technical University","Telecommunications Engineering","Yüksek Lisans (Master)",2018,NA,2019,NA
"t_47","Turkish National Defense University","Telecommunications Engineering","Bachelor's degree",2011,NA,2015,NA
"t_48","KU Leuven","Statistics and Data Science","Master's degree",2020,NA,2022,NA
"t_48","Instituto Tecnológico de Aeronáutica - ITA","Data Science","Specialization",2018,NA,2019,NA
"t_48","FIA - Fundação Instituto de Administração","Big Data Analytics","Specialization",2019,NA,2020,NA
"t_49","KU Leuven","Statistics and Data Science","Master of Science - MS",2020,9,2022,9
"t_49","University of Utah","Public Health","Bachelor of Science - BS",2015,2,2019,2
"t_50","University of Leuven","Statistics","Master of Science (M.Sc.)",2014,NA,2016,NA
"t_50","Ludwig-Maximilians Universität München","Statistics","Bachelor of Science (B.Sc.)",2008,NA,2014,NA
"t_51","KU Leuven","Electrical Engineering","MSc.",2015,NA,2017,NA
"t_51","Ecole polytechnique fédérale de Lausanne","MSc in Electrical Engineering",NA,2016,NA,2017,NA
"t_51","KU Leuven","BSc in Electrical Engineering",NA,2012,NA,2015,NA
"t_52","KU Leuven","Statistics and Data Science","Master of Science - MS",2020,NA,2022,NA
"t_52","Université Grenoble Alpes","Development Economics and International Development","Master's degree",2019,NA,2020,NA
"t_52","Université Grenoble Alpes","Major in Applied Economics","Bachelor of Laws, Economics and Business",2016,NA,2019,NA
"t_53","KU Leuven","Artificial Intelligence","Master's degree",2019,NA,2020,NA
"t_53","Universidad Autónoma de Madrid",NA,"Matematicas e Ingeniería Informática",2014,NA,2019,NA
"t_54","KU Leuven","MACHINE LEARNING FOR ENERGY PERFORMANCE PREDICTION IN EARLY DESIGN STAGE OF BUILDINGS","Doctor of Engineering Science",2015,NA,2020,NA
"t_54","Eindhoven University of Technology","Sustainable Energy Technology","Msc",2009,NA,2011,NA
"t_54","Vellore Institute of Technology","Mechanical Engineering","B.Tech",2005,NA,2009,NA
"t_55","KU Leuven","Statistics and Data Science","MS",2019,9,2022,9
"t_55","UCSD Extension","Finance","LAUNCH Program",2009,NA,2009,NA
"t_55","UC San Diego","Economics","BA",2006,NA,2008,NA
"t_56","KU Leuven","Social Data Science","Master's degree",2021,9,2023,6
"t_56","University of Warsaw","Philosophy","Bachelor's degree",2018,9,2021,9
"t_56","KU Leuven","Philosophy","Exchange student",2020,9,2021,6
"t_57","Erasmus School of Economics","Quantitative Finance ","Master of Science - MS",2020,9,2021,9
"t_57","KU Leuven","urn:li:fs_fieldOfStudy:100340","Master of Science - MS Chemical Engineering",2017,10,2020,8
"t_57","KU Leuven","Major: Chemical Engineering, Minor: Mechanical Engineering","Bachelor of Science - BS",2014,9,2018,9
"t_58","KU Leuven","Statistics","Master's degree",NA,NA,2019,NA
"t_58","Foreign Trade University",NA,"Bachelor of Business Administration - BBA",2005,NA,2009,NA
"t_59","KU Leuven","Statistics and Data Science - Theoretical track","Master of Science - MS",2020,9,2022,9
"t_59","Universidad Politécnica de Madrid","Industrial Engineering - Environmental Chemistry","Bachelor of Science - BS",2016,9,2020,7
"t_59","Universidad Politécnica de Madrid","Aerospace Engineering","Bachelor of Science - BS",2014,9,2016,7
"t_60","Katholieke Universiteit Leuven","Bioinformatics",NA,2007,NA,2013,NA
"t_60",NA,"Biostatistics","MSc",2004,NA,2007,NA
"t_60","University of Antwerp","Biology","MSc",1991,NA,1997,NA
"t_61","KU Leuven","Business Economics","Doctor of Philosophy - PhD",2015,NA,2020,NA
"t_61","University of Antwerp","Business Administration: Marketing","Master's degree",2011,NA,2014,NA
"t_62","University of Liège","Architecture and Urban Planning","Doctor of Philosophy - PhD",2018,NA,NA,NA
"t_62","University of Leuven","Social, Behavioral and Educational Statistics","Master's degree",2014,NA,2016,NA
"t_62","VNU University of Science","Waste Management and Contaminated Site Treatment","Master of Science",2009,NA,2012,NA
"t_63","KU Leuven","Machine Learning, Software Engineering","Doctor of Philosophy - PhD",2019,5,2024,5
"t_63","Faculty of Electrical Engineering, University of Banja Luka","Electronics and Telecommunications","Master’s Degree",2012,NA,2015,NA
"t_63","Faculty of Electrical Engineering, University of Banja Luka","Electronics and telecommunications","Bachelor’s Degree",2007,NA,2011,NA
"t_64","KU Leuven","Statistics and data science","Master of Science - MS",2020,10,2022,2
"t_64","Vrije Universiteit Brussel","International Business","Master of Science - MS",2018,9,2020,9
"t_64","National Economics University (Vietnam)","Marketing/Marketing Management, General","Barchelor of Marketing",2009,NA,2013,NA
"t_65","KU Leuven","Artificial Intelligence","Master of Science - MS",2017,NA,2019,NA
"t_65","University of Leuven","Information Systems Engineering","Master of Science (M.Sc.)",2015,NA,2017,NA
"t_65","Katholieke Universiteit Leuven","Information Systems Engineering","Bachelor of Science (B.Sc.)",2012,NA,2015,NA
"t_66","KU Leuven","Statistics","Master of Science - MS",2018,NA,2020,NA
"t_66","Waseda University","Political Science","Bachelor of Arts - BA",2013,NA,2017,NA
"t_66","Ludwig-Maximilians-Universität München",NA,"Exchange ",2015,NA,2016,NA
"t_67","Katholieke Universiteit Leuven","Specific Teacher Training in Natural Sciences",NA,2010,NA,2012,NA
"t_67","University of Antwerp","vaccinology","summer school",2018,NA,2018,NA
"t_67","KU Leuven","Biology","Doctor of Philosophy - PhD",2012,NA,2017,NA
"t_68","KU Leuven","Statistics","Master's Degree",2016,NA,2018,NA
"t_68","UCL","Statistics, Economics and Finance","Bachelor of Science (BSc)",2013,NA,2016,NA
"t_68","Bellerbys College","Mathematics and Economics","A Level",2012,NA,2013,NA
"t_69","KU Leuven",NA,"MSc Statistics and Data Science (Business track)",2020,NA,2022,NA
"t_69","University of Pretoria/Universiteit van Pretoria",NA,"BSc (Hons) Mathematical statistics",2018,NA,2019,NA
"t_69","University of Pretoria/Universiteit van Pretoria","urn:li:fs_fieldOfStudy:101474","BSc Actuarial and Financial Mathematics",2016,NA,2018,NA
"t_70","KU Leuven","Statistics & Data Science","Master's degree",2020,9,2022,7
"t_70","Universidad Nacional Autónoma de México","Actuarial Sciences","Bachelor of Applied Science - BASc",2013,NA,2018,NA
"t_71","KU Leuven","Statistics and Data Science","Master's degree",2019,1,2022,9
"t_71","Kiel University","Quantitative Economics",NA,2020,NA,2022,NA
"t_71","European-University Viadrina","Quantitative Methods","Bachelor’s Degree",2015,NA,2018,NA
"t_72","KU Leuven","Chemometrics and Multivariate Statistics","Doctor of Philosophy - PhD",2012,NA,2019,NA
"t_72","University of Leuven","Biomolecular Engineering","Master’s Degree",2009,NA,2011,NA
"t_72","University of Leuven","Biochemistry and Molecular Biology","Bachelor’s Degree",2006,NA,2009,NA
"t_73","KU Leuven",NA,"Courses Master in Artificial Intelligence",2014,NA,2015,NA
"t_73","KU Leuven","Master in Quantitative Analysis",NA,2012,NA,2013,NA
"t_73","Universiteit Gent","Conflict And Development","Manama",2009,NA,2010,NA
"t_74","KU Leuven","Statistics and Data Science","Master of Science - MS",2022,NA,2024,NA
"t_74","KU Leuven","Business Administration","Bachelor of Science - BS",2019,NA,2022,NA
"t_74","The University of Sheffield","Business Administration","Exchange Semester",2021,9,2022,2
"t_75","Technical University of Munich",NA,"Doctor of Philosophy - PhD",2017,1,2022,7
"t_75","University of Leuven","Bioinformatics","Master's degree",2014,NA,2016,NA
"t_75","Vellore Institute of Technology","Bioinformatics","B.Tech",2010,NA,2014,NA
"t_76","University of Leuven","Biomedical Sciences, General","Doctor of Philosophy (Ph.D.)",2014,NA,2017,NA
"t_76","Universite de Lorraine","Science, Technology and Health","Master’s Degree",2012,NA,2013,NA
"t_76","Ecole nationale d'Ingénieurs de Metz","Mechanical Engineering","Master’s Degree",2008,NA,2013,NA
"t_77","KU Leuven","Statistics","Master's degree",NA,NA,2018,NA
"t_77","University of Washington","Clinical Trials","Certificate",NA,NA,2012,NA
"t_77","University of Washington","Molecular, Cellular, & Developmental Biology","BS",NA,NA,2010,NA
"t_78","KU Leuven","Statistics","Master's degree",2018,NA,2020,NA
"t_78","Università di Trento","Sociology","Bachelor's degree",2015,NA,2018,NA
"t_78","Norwegian University of Science and Technology (NTNU)",NA,"Erasmus +",2017,NA,2017,NA
"t_79","KU Leuven","Business Statistics","Master of Science - MS",2016,NA,2018,NA
"t_79","KU Leuven Faculty of Engineering Technology - De Nayer Campus","Materials Engineering","Master's degree",2015,NA,2016,NA
"t_79","National Institute of Technology Warangal","Metallurgical and Materials engineering","Bachelor of Technology - BTech",2010,3,2014,3
"t_80","KU Leuven","Business Information Management","Master of Business Administration - MBA",2020,9,2022,9
"t_80","KU Leuven","Business, Management, Marketing, and Related Support Services","Bachelor of Business Administration - BBA",2017,NA,2020,NA
"t_80","KEDGE Business School","Business Administration, Management and Operations","Erasmus Exchange Program for one semester ",2019,NA,2020,NA
"t_81","KU Leuven","Statistics and data science","Master of Science - MS",2020,10,2022,2
