"employee_id","has_relevant_field","highest_edu","last_edu_year","degreeNumber"
"t_1",1,"master",2014,2
"t_10",1,"master",2021,2
"t_100",0,"phd",2017,3
"t_1000",0,"master",2016,3
"t_10000",0,"bachelor",2020,2
"t_10001",0,"master",2022,3
"t_10002",1,"phd",2009,5
"t_10003",0,"master",2017,2
"t_10004",1,"master",2020,2
"t_10006",0,"master",2017,2
"t_10007",1,"phd",2020,4
"t_10008",0,"master",2018,2
"t_10009",0,"bachelor",2018,1
"t_1001",0,"master",2018,1
"t_10010",0,"phd",2020,4
"t_10011",1,"bachelor",2022,1
"t_10012",1,"phd",2016,4
"t_10013",1,"master",2010,3
"t_10014",1,"phd",2001,2
"t_10015",0,"phd",2018,3
"t_10016",1,"phd",2014,4
"t_10017",1,"bachelor",2018,2
"t_10018",1,"master",2019,2
"t_10019",1,"master",2020,2
"t_1002",1,"phd",2016,3
"t_10020",1,"master",2021,3
"t_10021",0,"master",2020,2
"t_10022",0,"master",2022,2
"t_10023",1,"master",2016,2
"t_10024",0,"master",2019,2
"t_10025",1,"bachelor",2021,1
"t_10026",0,"master",2018,2
"t_10027",0,"master",2017,2
"t_10028",0,"bachelor",2017,1
"t_10029",0,"master",2022,2
"t_1003",1,"bachelor",2019,2
"t_10030",0,"master",2016,2
"t_10031",1,"master",2020,2
"t_10032",1,"phd",2022,4
"t_10033",1,"phd",2015,3
"t_10034",1,"phd",2014,3
"t_10035",1,"master",2022,2
"t_10036",1,"phd",2015,4
"t_10037",0,"master",2019,3
"t_10038",1,"master",2022,3
"t_10039",1,"master",2016,2
"t_1004",1,"phd",2013,4
"t_10040",1,"master",2020,1
"t_10041",0,"bachelor",2017,2
"t_10042",0,"phd",2021,4
"t_10043",1,"bachelor",2017,1
"t_10044",1,"phd",2019,3
"t_10045",1,"master",2017,2
"t_10046",1,"master",2016,2
"t_10047",0,"master",-1,1
"t_10048",1,"master",2022,3
"t_10049",0,"bachelor",2011,1
"t_1005",1,"phd",2018,4
"t_10050",1,"master",2022,3
"t_10051",1,"master",2020,3
"t_10052",1,"master",2020,2
"t_10053",1,"master",-1,3
"t_10054",1,"master",2021,2
"t_10055",0,"master",2017,3
"t_10056",1,"master",2021,2
"t_10058",1,"bachelor",1982,1
"t_10059",1,"bachelor",2021,1
"t_1006",0,"master",2015,2
"t_10060",0,"phd",2007,3
"t_10061",1,"master",2014,2
"t_10062",1,"master",2021,2
"t_10063",1,"bachelor",2020,2
"t_10064",1,"master",2020,3
"t_10065",1,"phd",2021,4
"t_10066",1,"bachelor",2016,2
"t_10067",1,"master",2020,2
"t_10068",1,"master",2019,3
"t_10069",1,"master",2022,2
"t_1007",0,"phd",2011,1
"t_10070",0,"bachelor",2021,1
"t_10071",1,"phd",2016,4
"t_10072",1,"master",2022,2
"t_10073",0,"master",2016,2
"t_10074",0,"master",2022,3
"t_10075",0,"bachelor",2020,1
"t_10076",0,"bachelor",2020,1
"t_10077",0,"master",2021,2
"t_10078",1,"master",2020,1
"t_10079",1,"master",2020,1
"t_10080",1,"master",2022,2
"t_10081",1,"bachelor",2021,1
"t_10082",1,"master",2019,3
"t_10083",1,"master",2022,3
"t_10084",1,"bachelor",2019,1
"t_10085",1,"master",2016,3
"t_10086",1,"master",2019,1
"t_10087",0,"master",2022,3
"t_10089",0,"master",2017,3
"t_1009",0,"bachelor",2018,2
"t_10090",0,"master",2019,3
"t_10091",1,"master",2019,2
"t_10092",0,"master",2019,1
"t_10093",1,"phd",2013,2
"t_10094",0,"bachelor",2003,2
"t_10095",0,"master",1993,1
"t_10096",0,"master",1996,1
"t_10097",1,"master",2019,3
"t_10098",0,"master",2017,1
"t_10099",1,"phd",2020,4
"t_101",1,"master",2016,2
"t_1010",1,"master",2017,2
"t_10101",0,"phd",2013,3
"t_10102",0,"master",2020,3
"t_10103",1,"master",2020,2
"t_10104",0,"phd",2018,2
"t_10105",1,"master",2021,3
"t_10106",1,"bachelor",2014,2
"t_10107",1,"master",2008,2
"t_10108",1,"master",2022,3
"t_10109",0,"bachelor",2021,1
"t_1011",1,"master",2011,2
"t_10110",0,"master",2021,2
"t_10111",0,"master",2017,2
"t_10112",1,"master",2022,2
"t_10113",0,"phd",2021,1
"t_10114",1,"phd",2017,5
"t_10115",0,"master",2014,1
"t_10117",1,"master",2020,2
"t_10118",0,"master",2015,1
"t_10119",1,"master",2003,2
"t_1012",0,"phd",2015,3
"t_10120",1,"phd",2018,4
"t_10121",1,"bachelor",2015,1
"t_10123",1,"master",2020,2
"t_10124",0,"master",2002,1
"t_10125",0,"bachelor",1984,1
"t_10126",1,"master",2019,2
"t_10127",0,"master",2009,2
"t_10128",1,"phd",2021,2
"t_10129",0,"master",1993,1
"t_1013",0,"master",2017,1
"t_10131",0,"master",2021,3
"t_10132",1,"bachelor",2021,1
"t_10133",0,"phd",2018,4
"t_10134",1,"master",2021,2
"t_10135",0,"phd",2018,5
"t_10136",0,"master",2021,1
"t_10137",1,"master",2022,3
"t_10138",1,"phd",2012,3
"t_10139",1,"phd",2015,3
"t_1014",1,"master",2018,3
"t_10140",0,"master",2020,1
"t_10141",0,"phd",2020,3
"t_10142",1,"master",2017,3
"t_10143",0,"master",2020,3
"t_10145",1,"master",2010,2
"t_10146",1,"master",2019,2
"t_10148",0,"master",2016,1
"t_10149",0,"master",2022,2
"t_1015",1,"phd",2016,2
"t_10150",1,"phd",2017,3
"t_10151",0,"phd",2016,3
"t_10153",1,"master",2021,2
"t_10154",0,"master",-1,2
"t_10155",0,"master",2022,3
"t_10156",1,"master",2020,3
"t_10157",0,"master",2017,1
"t_10158",1,"master",2018,2
"t_10159",0,"phd",-1,4
"t_1016",0,"phd",2015,3
"t_10160",1,"master",2014,1
"t_10161",0,"bachelor",2015,1
"t_10162",0,"master",2020,1
"t_10163",1,"master",1992,2
"t_10164",1,"master",2017,1
"t_10165",1,"master",2014,2
"t_10166",1,"master",2017,2
"t_10167",1,"master",2022,2
"t_10168",0,"master",2020,2
"t_10169",1,"phd",2002,2
"t_1017",1,"phd",2022,4
"t_10170",0,"master",2022,1
"t_10171",0,"phd",2005,3
"t_10172",1,"bachelor",2017,2
"t_10173",1,"phd",2021,1
"t_10174",1,"master",2022,2
"t_10175",1,"master",2018,2
"t_10176",0,"master",2006,3
"t_10177",1,"master",2020,3
"t_10178",1,"master",2022,2
"t_10179",1,"master",2019,3
"t_1018",1,"master",2022,3
"t_10180",1,"master",2015,1
"t_10181",0,"master",2018,3
"t_10182",0,"master",2020,2
"t_10183",0,"master",1995,2
"t_10184",1,"phd",2019,2
"t_10185",1,"master",2018,2
"t_10186",0,"bachelor",2007,1
"t_10188",0,"master",2021,3
"t_10189",1,"master",2007,2
"t_1019",0,"master",2017,2
"t_10190",1,"master",2018,2
"t_10191",1,"master",2022,2
"t_10192",1,"bachelor",2022,1
"t_10193",1,"master",2022,2
"t_10195",0,"master",2019,2
"t_10196",0,"master",2018,2
"t_10197",0,"master",2022,1
"t_10198",0,"master",2020,3
"t_10199",0,"master",2009,1
"t_102",1,"master",2017,3
"t_1020",1,"bachelor",2022,1
"t_10200",1,"master",1994,1
"t_10201",1,"phd",2020,4
"t_10202",1,"phd",2002,1
"t_10203",0,"phd",2021,2
"t_10204",1,"bachelor",2022,1
"t_10205",0,"phd",2012,2
"t_10206",0,"master",2013,3
"t_10207",0,"phd",2013,4
"t_10208",1,"master",2011,3
"t_10209",0,"master",2018,3
"t_1021",1,"bachelor",2021,1
"t_10210",0,"master",2018,3
"t_10211",1,"phd",2021,6
"t_10212",1,"bachelor",2022,2
"t_10213",1,"master",2022,2
"t_10214",0,"master",2015,2
"t_10215",0,"master",2018,3
"t_10216",0,"phd",2022,3
"t_10217",1,"master",2018,1
"t_10218",1,"master",2015,2
"t_1022",1,"phd",2011,3
"t_10220",0,"phd",2018,3
"t_10221",1,"bachelor",2021,1
"t_10222",1,"master",2020,2
"t_10224",0,"master",2018,1
"t_10225",0,"phd",1987,2
"t_10226",0,"master",2016,2
"t_10227",1,"phd",2016,4
"t_10228",1,"master",2015,3
"t_10229",1,"master",2019,2
"t_1023",0,"master",2015,2
"t_10230",1,"phd",2014,5
"t_10231",1,"master",2020,3
"t_10232",0,"phd",2020,2
"t_10233",0,"master",2020,3
"t_10234",0,"master",2015,2
"t_10235",0,"master",2017,2
"t_10236",0,"phd",2016,4
"t_10238",0,"phd",2017,3
"t_10239",1,"master",2022,2
"t_1024",1,"master",2014,2
"t_10240",1,"phd",2015,3
"t_10241",1,"master",2022,3
"t_10242",0,"bachelor",1986,1
"t_10244",1,"master",2013,2
"t_10245",1,"phd",2006,1
"t_10246",1,"master",2017,3
"t_10247",1,"bachelor",2018,2
"t_10248",0,"master",2020,2
"t_10249",0,"phd",2012,4
"t_1025",1,"master",2021,2
"t_10250",1,"master",2020,2
"t_10251",0,"master",2016,3
"t_10252",1,"master",-1,2
"t_10253",0,"master",2018,3
"t_10254",0,"phd",2018,5
"t_10256",1,"master",2019,3
"t_10257",0,"bachelor",2020,2
"t_10258",0,"phd",2014,3
"t_10259",0,"master",2008,1
"t_1026",0,"master",2017,2
"t_10261",0,"master",2017,3
"t_10262",0,"master",2016,2
"t_10263",1,"master",2022,1
"t_10264",1,"master",2018,1
"t_10265",1,"bachelor",2022,1
"t_10266",0,"master",2010,3
"t_10267",0,"bachelor",2022,1
"t_10268",0,"master",2021,3
"t_10269",0,"master",2017,1
"t_1027",1,"master",2007,3
"t_10270",1,"master",2015,2
"t_10271",0,"master",2009,2
"t_10272",0,"master",2017,1
"t_10273",1,"master",2019,2
"t_10274",0,"master",2021,3
"t_10275",1,"bachelor",2022,2
"t_10276",1,"master",2022,3
"t_10277",1,"bachelor",2022,2
"t_10278",1,"master",2009,1
"t_10279",1,"master",2012,3
"t_1028",1,"bachelor",2021,1
"t_10280",1,"phd",2015,2
"t_10281",1,"phd",2017,1
"t_10282",0,"master",2022,2
"t_10283",0,"master",2015,2
"t_10284",0,"phd",2021,3
"t_10285",1,"master",2010,1
"t_10286",0,"bachelor",1989,1
"t_10287",1,"bachelor",2022,1
"t_10288",1,"master",1995,2
"t_10289",1,"master",2020,1
"t_1029",1,"master",2022,3
"t_10290",0,"master",2006,1
"t_10291",1,"bachelor",2022,2
"t_10292",0,"phd",2016,4
"t_10293",1,"master",2014,3
"t_10294",1,"phd",2017,3
"t_10295",1,"phd",-1,3
"t_10296",1,"phd",1993,2
"t_10297",0,"master",2011,3
"t_10298",0,"phd",2022,4
"t_10299",1,"master",2015,1
"t_103",0,"bachelor",2021,1
"t_1030",0,"bachelor",2020,3
"t_10300",1,"phd",2012,2
"t_10301",1,"master",2015,2
"t_10302",1,"master",2021,2
"t_10303",0,"phd",2022,3
"t_10304",0,"master",2020,2
"t_10305",0,"master",2019,1
"t_10306",0,"phd",2017,5
"t_10307",1,"master",2018,2
"t_10308",1,"master",2022,2
"t_10309",0,"master",2017,2
"t_1031",0,"master",2020,3
"t_10310",0,"phd",2000,3
"t_10311",1,"master",2009,2
"t_10312",1,"master",1988,2
"t_10313",0,"master",2010,2
"t_10314",1,"master",2021,2
"t_10315",0,"master",2012,2
"t_10316",0,"master",2014,2
"t_10317",1,"phd",2016,3
"t_10318",1,"phd",2006,2
"t_10319",1,"master",2021,2
"t_1032",1,"phd",2019,3
"t_10320",0,"master",2013,3
"t_10321",0,"bachelor",2017,1
"t_10322",1,"master",2018,2
"t_10323",1,"master",1996,1
"t_10324",0,"phd",2017,2
"t_10325",1,"master",2020,2
"t_10326",1,"master",2020,1
"t_10327",1,"master",2003,1
"t_10328",1,"master",2022,2
"t_10329",1,"master",2022,2
"t_1033",1,"phd",2015,4
"t_10330",1,"master",2021,3
"t_10331",0,"phd",2011,3
"t_10332",1,"bachelor",1994,1
"t_10333",1,"bachelor",2022,2
"t_10334",1,"phd",2016,3
"t_10335",0,"master",2012,2
"t_10336",0,"master",2019,3
"t_10337",0,"master",2020,1
"t_10338",1,"master",2021,2
"t_10339",0,"master",2010,1
"t_10340",1,"master",2009,2
"t_10341",1,"master",2019,2
"t_10342",1,"master",2017,2
"t_10343",1,"master",2022,2
"t_10345",1,"bachelor",2020,2
"t_10346",0,"master",2013,1
"t_10347",1,"master",2022,2
"t_10348",0,"master",1997,1
"t_10349",0,"master",2008,1
"t_1035",1,"master",2018,3
"t_10350",1,"phd",2012,3
"t_10351",0,"master",2018,2
"t_10352",1,"bachelor",2022,1
"t_10353",0,"master",2021,2
"t_10354",0,"bachelor",2003,1
"t_10355",0,"bachelor",1981,1
"t_10356",1,"master",2021,2
"t_10357",0,"bachelor",2021,1
"t_10358",1,"master",2000,1
"t_10359",1,"master",2019,2
"t_1036",1,"bachelor",2013,3
"t_10360",0,"master",2008,1
"t_10361",1,"phd",2015,4
"t_10362",0,"master",2016,2
"t_10363",0,"bachelor",2022,1
"t_10364",1,"bachelor",2022,1
"t_10365",1,"master",2005,1
"t_10366",1,"bachelor",2017,2
"t_10367",0,"master",2022,3
"t_10368",1,"bachelor",2005,2
"t_10369",1,"master",2014,2
"t_1037",1,"master",2021,3
"t_10370",1,"master",2022,1
"t_10371",1,"master",2004,1
"t_10372",1,"bachelor",2020,3
"t_10373",0,"master",2012,2
"t_10374",1,"phd",2007,2
"t_10375",0,"bachelor",2021,1
"t_10376",1,"master",2022,2
"t_10377",0,"master",2020,1
"t_10378",1,"master",2021,2
"t_10379",1,"phd",2013,2
"t_1038",1,"master",2022,2
"t_10380",1,"phd",2022,1
"t_10382",1,"master",2002,1
"t_10383",1,"phd",2001,2
"t_10384",1,"bachelor",2020,1
"t_10385",1,"master",2018,3
"t_10386",0,"master",2015,1
"t_10387",0,"master",1994,1
"t_10388",0,"phd",2020,4
"t_10389",1,"bachelor",2022,1
"t_1039",1,"master",2022,2
"t_10390",1,"master",2014,2
"t_10391",1,"master",2014,2
"t_10392",0,"bachelor",2022,1
"t_10393",1,"master",2019,3
"t_10394",0,"master",2021,3
"t_10395",1,"phd",2015,2
"t_10396",1,"master",2010,1
"t_10397",0,"phd",2018,3
"t_10398",1,"phd",2016,3
"t_10399",1,"bachelor",2016,3
"t_104",1,"phd",2020,4
"t_1040",1,"master",2017,3
"t_10400",1,"master",2022,2
"t_10401",0,"phd",2022,3
"t_10402",1,"phd",2015,3
"t_10403",0,"master",2018,2
"t_10404",0,"master",2014,1
"t_10405",1,"phd",2018,4
"t_10406",1,"phd",2013,4
"t_10407",0,"master",2020,3
"t_10408",0,"phd",2016,3
"t_10409",0,"bachelor",2014,1
"t_1041",0,"phd",1999,2
"t_10410",1,"master",2014,2
"t_10411",0,"master",2022,3
"t_10412",1,"phd",2012,3
"t_10413",0,"bachelor",2014,1
"t_10414",1,"phd",2016,4
"t_10415",1,"master",2021,2
"t_10416",0,"master",2018,2
"t_10418",0,"master",2016,2
"t_10419",0,"master",2022,1
"t_1042",1,"master",2019,2
"t_10421",1,"phd",2014,4
"t_10422",1,"master",2020,3
"t_10424",1,"bachelor",1984,1
"t_10425",1,"phd",2014,3
"t_10426",0,"master",2000,1
"t_10427",1,"master",2021,3
"t_10428",0,"master",2017,1
"t_10429",0,"master",2020,3
"t_1043",1,"master",2022,2
"t_10430",0,"bachelor",2020,1
"t_10431",0,"bachelor",-1,1
"t_10432",1,"master",2021,3
"t_10433",1,"phd",2020,3
"t_10434",0,"master",2009,2
"t_10435",1,"master",1998,1
"t_10436",0,"phd",2020,3
"t_10438",0,"phd",2021,1
"t_10439",0,"bachelor",2019,1
"t_1044",0,"master",2009,1
"t_10440",0,"phd",2011,2
"t_10441",0,"bachelor",2016,3
"t_10442",0,"master",1983,1
"t_10443",1,"bachelor",2012,1
"t_10444",0,"master",2021,2
"t_10445",0,"master",2019,3
"t_10446",1,"bachelor",2022,3
"t_10447",1,"bachelor",2020,2
"t_10448",0,"master",2010,2
"t_10449",0,"master",2021,2
"t_1045",1,"master",2022,3
"t_10450",0,"bachelor",2022,1
"t_10451",1,"master",2019,2
"t_10452",0,"master",2012,2
"t_10453",0,"master",2021,3
"t_10455",0,"master",2015,1
"t_10456",0,"master",2011,2
"t_10457",0,"master",2017,2
"t_10458",0,"master",2015,1
"t_10459",0,"master",2018,2
"t_1046",1,"bachelor",2017,1
"t_10460",1,"master",2007,3
"t_10461",1,"master",2020,2
"t_10462",1,"phd",2020,3
"t_10463",1,"master",2021,2
"t_10464",1,"master",2021,2
"t_10465",0,"master",2013,1
"t_10466",0,"phd",2012,3
"t_10467",0,"phd",2018,3
"t_10468",1,"master",2007,3
"t_10469",1,"master",1994,1
"t_1047",1,"phd",2021,5
"t_10470",0,"master",2013,1
"t_10471",1,"phd",2017,4
"t_10472",1,"phd",2010,3
"t_10473",0,"master",2010,2
"t_10474",0,"master",2017,2
"t_10475",1,"bachelor",2021,2
"t_10476",0,"master",2020,2
"t_10477",0,"master",2014,1
"t_10478",0,"phd",-1,3
"t_10479",1,"bachelor",2020,1
"t_1048",0,"bachelor",2020,1
"t_10481",1,"master",2022,1
"t_10482",0,"phd",2022,3
"t_10483",0,"bachelor",2022,1
"t_10484",0,"phd",2018,3
"t_10486",1,"phd",2015,3
"t_10487",0,"master",2015,3
"t_10489",1,"bachelor",2022,1
"t_1049",1,"master",2016,2
"t_10490",1,"master",2015,2
"t_10491",0,"master",2022,2
"t_10492",0,"bachelor",2016,1
"t_10493",0,"master",2019,1
"t_10494",1,"master",2011,2
"t_10495",1,"bachelor",2021,3
"t_10496",1,"bachelor",2001,1
"t_10497",0,"master",2017,1
"t_10498",0,"master",2004,1
"t_10499",0,"master",2020,3
"t_105",1,"master",2018,2
"t_1050",0,"master",2021,2
"t_10500",0,"master",2021,3
"t_10501",0,"master",2020,3
"t_10502",0,"bachelor",1997,1
"t_10503",1,"bachelor",2021,2
"t_10504",0,"bachelor",-1,3
"t_10505",1,"master",2022,2
"t_10506",1,"master",2022,3
"t_10507",0,"phd",2016,4
"t_10508",0,"master",2002,2
"t_10509",1,"master",2010,1
"t_1051",1,"phd",2017,3
"t_10510",1,"bachelor",2020,1
"t_10511",0,"master",-1,2
"t_10513",0,"master",2019,2
"t_10514",1,"master",2015,1
"t_10515",0,"phd",2009,4
"t_10516",1,"master",2019,1
"t_10517",0,"master",2022,1
"t_10518",0,"master",-1,1
"t_10519",0,"master",2018,2
"t_1052",0,"master",2021,2
"t_10520",1,"master",2020,2
"t_10521",0,"phd",2007,3
"t_10522",0,"bachelor",2018,1
