"employee_id","follower_count"
"t_1",528
"t_2",167
"t_3",337
"t_4",621
"t_5",225
"t_6",407
"t_7",431
"t_8",792
"t_9",14537
"t_10",260
"t_11",666
"t_12",834
"t_13",1173
"t_14",905
"t_15",808
"t_16",930
"t_17",1787
"t_18",319
"t_19",196
"t_20",943
"t_21",1932
"t_22",1267
"t_23",154
"t_24",1493
"t_25",560
"t_26",276
"t_27",706
"t_28",766
"t_29",1360
"t_30",222
"t_31",2099
"t_32",382
"t_33",349
"t_34",2564
"t_35",175
"t_36",307
"t_37",716
"t_38",134
"t_39",340
"t_40",259
"t_41",808
"t_42",304
"t_43",158
"t_44",379
"t_45",1837
"t_46",1123
"t_47",1198
"t_48",3718
"t_49",115
"t_50",1279
"t_51",625
"t_52",561
"t_53",427
"t_54",810
"t_55",199
"t_56",508
"t_57",803
"t_58",293
"t_59",186
"t_60",707
"t_61",208
"t_62",188
"t_63",1173
"t_64",472
"t_65",537
"t_66",105
"t_67",490
"t_68",85
"t_69",648
"t_70",329
"t_71",446
"t_72",298
"t_73",2984
"t_74",730
"t_75",428
"t_76",770
"t_77",493
"t_78",338
"t_79",1781
"t_80",1444
"t_81",472
"t_82",689
"t_83",440
"t_84",162
"t_85",213
"t_86",205
"t_87",5710
"t_88",206
"t_89",399
"t_90",1279
"t_91",352
"t_92",242
"t_93",687
"t_94",635
"t_95",296
"t_96",228
"t_97",634
"t_98",479
"t_99",2057
"t_100",321
"t_101",2467
"t_102",475
"t_103",160
"t_104",275
"t_105",734
"t_106",1049
"t_107",225
"t_108",515
"t_109",1047
"t_110",1738
"t_111",2260
"t_112",32
"t_113",367
"t_114",207
"t_115",440
"t_116",210
"t_117",742
"t_118",930
"t_119",296
"t_120",318
"t_121",834
"t_122",814
"t_123",701
"t_124",169
"t_125",861
"t_126",246
"t_127",1552
"t_128",515
"t_129",4948
"t_130",777
"t_131",397
"t_132",356
"t_133",483
"t_134",2054
"t_135",391
"t_136",NA
"t_137",1848
"t_138",605
"t_139",221
"t_140",189
"t_141",269
"t_142",241
"t_143",529
"t_144",426
"t_145",248
"t_146",959
"t_147",1263
"t_148",284
"t_149",204
"t_150",419
"t_151",178
"t_152",647
"t_153",469
"t_154",933
"t_155",809
"t_156",3991
"t_157",3025
"t_158",149
"t_159",970
"t_160",481
"t_161",286
"t_162",682
"t_163",1184
"t_164",731
"t_165",1725
"t_166",844
"t_167",808
"t_168",605
"t_169",1236
"t_170",396
"t_171",1536
"t_172",99
"t_173",292
"t_174",605
"t_175",1888
"t_176",374
"t_177",1102
"t_178",725
"t_179",1338
"t_180",1409
"t_181",561
"t_182",40
"t_183",132
"t_184",413
"t_185",1536
"t_186",263
"t_187",326
"t_188",1143
"t_189",243
"t_190",547
"t_191",411
"t_192",755
"t_193",515
"t_194",2014
"t_195",1593
"t_196",273
"t_197",1939
"t_198",1244
"t_199",326
"t_200",1244
"t_201",646
"t_202",1235
"t_203",1226
"t_204",753
"t_205",711
"t_206",1011
"t_207",750
"t_208",2168
"t_209",606
"t_210",322
"t_211",1758
"t_212",781
"t_213",494
"t_214",174
"t_215",710
"t_216",107
"t_217",622
"t_218",401
"t_219",1344
"t_220",403
"t_221",798
"t_222",1116
"t_223",322
"t_224",1068
"t_225",702
"t_226",1769
"t_227",644
"t_228",1491
"t_229",2398
"t_230",2251
"t_231",608
"t_232",87
"t_233",558
"t_234",5699
"t_235",1282
"t_236",779
"t_237",273
"t_238",755
"t_239",224
"t_240",669
"t_241",532
"t_242",688
"t_243",280
"t_244",222
"t_245",724
"t_246",880
"t_247",705
"t_248",369
"t_249",378
"t_250",2141
"t_251",392
"t_252",944
"t_253",1161
"t_254",55
"t_255",733
"t_256",509
"t_257",134
"t_258",789
"t_259",697
"t_260",1678
"t_261",518
"t_262",155
"t_263",306
"t_264",262
"t_265",250
"t_266",1014
"t_267",279
"t_268",1267
"t_269",958
"t_270",319
"t_271",491
"t_272",894
"t_273",556
"t_274",369
"t_275",535
"t_276",2279
"t_277",104
"t_278",1791
"t_279",1218
"t_280",586
"t_281",746
"t_282",1691
"t_283",1322
"t_284",688
"t_285",967
"t_286",2751
"t_287",792
"t_288",NA
"t_289",230
"t_290",518
"t_291",522
"t_292",1577
"t_293",131
"t_294",207
"t_295",213
"t_296",228
"t_297",2303
"t_298",3468
"t_299",334
"t_300",340
"t_301",18689
"t_302",1134
"t_303",4501
"t_304",487
"t_305",814
"t_306",307
"t_307",1908
"t_308",958
"t_309",552
"t_310",217
"t_311",745
"t_312",461
"t_313",1030
"t_314",125
"t_315",2236
"t_316",1067
"t_317",7740
"t_318",221
"t_319",427
"t_320",347
"t_321",3202
"t_322",2746
"t_323",325
"t_324",463
"t_325",1932
"t_326",409
"t_327",134
"t_328",294
"t_329",186
"t_330",788
"t_331",239
"t_332",1014
"t_333",1290
"t_334",584
"t_335",2400
"t_336",470
"t_337",15916
"t_338",354
"t_339",3097
"t_340",4651
"t_341",1141
"t_342",562
"t_343",3628
"t_344",1248
"t_345",2427
"t_346",455
"t_347",6008
"t_348",1021
"t_349",279
"t_350",610
"t_351",673
"t_352",682
"t_353",314
"t_354",655
"t_355",334
"t_356",440
"t_357",591
"t_358",279
