"employee_id","language","proficiency"
"t_1","English","1"
"t_1","French","1"
"t_1","Italian","1"
"t_2","English","1"
"t_2","Vietnamese","1"
"t_3","Arabic","0"
"t_3","English","1"
"t_3","Gujarati","1"
"t_3","Hindi","1"
"t_3","Kutchi","1"
"t_3","Spanish","0"
"t_4","English","1"
"t_4","Svedese","0"
"t_5","English","1"
"t_5","German","1"
"t_5","Italian","0"
"t_5","Spanish","1"
"t_6","Dutch","0"
"t_6","English","1"
"t_9","Chinese","0"
"t_9","English","1"
"t_9","French","1"
"t_9","Vietnamese","0"
"t_10","English","1"
"t_10","French","0"
"t_10","Hindi","1"
"t_11","Dutch","1"
"t_11","English","1"
"t_11","French","0"
"t_11","German","1"
"t_12","Assamese","1"
"t_12","Bengali","1"
"t_12","Dutch","0"
"t_12","English","1"
"t_12","Hindi","1"
"t_12","Indonesian","1"
"t_12","Malay","0"
"t_12","Urdu","1"
"t_13","Dutch","1"
"t_13","English","1"
"t_13","French","1"
"t_13","German","0"
"t_14","Dutch","0"
"t_14","English","1"
"t_14","French","1"
"t_14","German","0"
"t_14","Polish","1"
"t_14","Spanish","0"
"t_15","Dutch","0"
"t_15","English","1"
"t_15","French","0"
"t_15","Spanish","1"
"t_17","Dutch","0"
"t_17","English","1"
"t_17","Italian","0"
"t_17","Urdu","1"
"t_18","English","1"
"t_18","Turkish","1"
"t_19","English","1"
"t_19","Mon-Khmer languages","1"
"t_21","English","1"
"t_21","French","1"
"t_21","Portuguese","1"
"t_21","Spanish","1"
"t_22","Dutch","1"
"t_22","English","1"
"t_22","French","1"
"t_23","Dutch","1"
"t_23","English","1"
"t_23","French","0"
"t_24","Dutch","1"
"t_24","English","1"
"t_24","French","0"
"t_24","German","0"
"t_25","English","1"
"t_25","French","0"
"t_25","German","0"
"t_25","Hindi","1"
"t_25","Marathi","1"
"t_26","Dutch","1"
"t_26","English","1"
"t_26","French","0"
"t_27","Dutch","0"
"t_27","English","1"
"t_27","French","0"
"t_27","Greek","1"
"t_29","English","1"
"t_29","Spanish","1"
"t_30","Dutch","1"
"t_30","English","1"
"t_30","French","0"
"t_31","Dutch","1"
"t_32","Dutch","0"
"t_32","English","1"
"t_32","Spanish","1"
"t_34","English","1"
