"employee_id","promote_level_1","promote_level_2","time_work","promote_general","intern","num_job","num_company"
"t_1",0,1,1339,1,0,4,4
"t_2",0,0,1751,0,0,2,2
"t_4",0,0,897,0,0,3,3
"t_5",0,0,1614,0,0,2,2
"t_7",0,0,1781,0,0,4,4
"t_8",0,0,2146,0,1,3,2
"t_9",0,0,1050,0,0,2,2
"t_10",0,0,456,0,0,1,1
"t_11",0,0,685,0,0,1,1
"t_13",0,0,320,0,0,1,1
"t_14",0,1,2511,1,0,4,3
"t_15",0,0,395,0,0,1,1
"t_16",0,0,912,0,1,2,2
"t_17",0,0,397,0,0,1,1
"t_18",0,0,351,0,1,1,1
"t_20",0,1,2450,1,0,3,3
"t_21",1,0,1416,1,0,2,1
"t_22",0,0,1812,0,0,2,2
"t_24",0,0,685,0,0,1,1
"t_26",0,0,791,0,0,1,1
"t_27",1,1,2146,1,0,5,2
"t_28",0,0,1050,0,0,1,1
"t_29",0,1,1050,1,0,2,2
"t_30",0,0,365,0,1,1,1
"t_31",0,0,1112,0,0,3,3
"t_32",0,0,883,0,0,3,3
"t_33",1,0,4095,1,0,5,2
"t_34",0,1,1628,1,0,4,4
"t_35",0,0,547,0,0,3,3
"t_36",0,0,4308,0,0,4,4
"t_37",0,0,1673,0,0,3,1
"t_38",0,0,685,0,1,3,3
"t_39",0,0,2847,0,0,4,4
"t_42",0,0,928,0,0,2,2
"t_43",0,0,382,0,1,1,1
"t_44",0,0,2908,0,0,2,2
"t_46",0,1,2511,1,0,4,2
"t_47",0,0,1508,0,0,3,3
"t_48",0,0,1325,0,1,3,3
"t_49",0,0,198,0,0,1,1
"t_50",0,0,2299,0,0,3,2
"t_51",0,0,1400,0,1,2,2
"t_53",0,0,1020,0,0,3,3
"t_54",1,0,1478,1,0,2,2
"t_56",0,0,320,0,0,2,2
"t_57",0,0,1263,0,0,3,2
"t_58",0,0,NA,0,0,1,1
"t_59",0,0,184,0,1,1,1
"t_60",1,1,2116,1,1,4,1
"t_61",0,0,1020,0,0,1,1
"t_63",0,1,443,1,0,1,1
"t_65",0,0,1659,0,0,2,1
"t_66",0,0,1478,0,0,3,3
"t_67",0,1,1600,1,0,3,2
"t_68",0,0,290,0,1,1,1
"t_69",0,0,351,0,1,2,2
"t_70",0,0,1781,0,0,2,2
"t_71",0,0,457,0,1,1,1
"t_72",0,0,1081,0,0,3,3
"t_73",0,0,2420,0,0,1,1
"t_75",0,0,685,0,0,1,1
"t_76",0,0,2116,0,0,3,3
"t_77",0,0,1600,0,0,1,1
"t_78",0,0,1050,0,0,3,2
"t_79",0,1,3304,1,0,4,2
"t_80",0,0,747,0,0,1,1
"t_82",0,0,869,0,0,1,1
"t_83",0,0,365,0,1,1,1
"t_85",0,0,473,0,1,1,1
"t_86",0,0,427,0,0,3,3
