"employee_id","schoolName","fieldOfStudy","degreeName"
"t_1","KU Leuven","Statistics","Master of Science (MSc)"
"t_1","Universiteit Leiden","Methodology and Statistics","Master’s Erasmus Exchange Programme"
"t_2","KU Leuven","Statistics","Master's degree"
"t_2","University of Warwick","Mathematics","Bachelors"
"t_3","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_3","North Carolina State University","Industrial Engineering","Bachelor of Science - BS"
"t_3","Indian School Muscat",NA,"High School"
"t_4","Alma Mater Studiorum - Università di Bologna","Statistical Sciences - curriculum Data Science","Master's dregree"
"t_4","Katholieke Universiteit Leuven","Master in Statistics","Erasmus"
"t_4","Alma Mater Studiorum - Università di Bologna","Statistics and Mathematics","Bachelor's degree"
"t_5","KU Leuven","Statistics","Master of Science (M.Sc.)"
"t_5","Tecnológico de Monterrey","Finance and Financial Management Services","Bachelor of Arts (B.A.)"
"t_5","Fachhochschule Pforzheim - Hochschule für Gestaltung, Technik und Wirtschaft",NA,NA
"t_6","KU Leuven","Business Statistics","Masters in Statistics and Data Science"
"t_6","Shaheed Sukhdev College Of Business Studies","Computer Science","Bachelor of Science"
"t_7","KU Leuven","Artificial Intelligence","Master's degree"
"t_7","University of Antwerp","Business Engineering","Master's degree"
"t_7","University of International Business and Economics","Business","Summer School"
"t_8","University of Leuven","Statistics","Master of Science (MSc)"
"t_8","Leiden University","Psychology","Bachelor of Science (BSc)"
"t_8","Coventry University","Minor, Erasmus Programme",NA
"t_9","KU Leuven","Intellectual Property & ICT Law","Master of Laws - LLM"
"t_9","Xiamen University","Intellectual Property Law","Summer School"
"t_9","Renmin University of China","International Business, Trade, and Tax Law","Exchange"
"t_10","KU Leuven","Artificial Intelligence","Master's degree"
"t_10","ITM University, Gurgaon","Computer Science","Bachelor of Technology (BTech)"
"t_11","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_11","KU Leuven","Economics","Master of Science - MS"
"t_11","KU Leuven","Mathematics","Bachelor of Science - BS (Credits)"
"t_12","KU Leuven","Statistics and Data Science (Study Track: Biometrics)","Master"
"t_12","Gauhati University","Statistics","B.Sc. (Major)"
"t_12","Ramanujan Junior College, Nagaon","Science","Higher Secondary (10+2)"
"t_13","University of California, Berkeley","Robotics and Embedded Software","Master of Engineering - MEng"
"t_13","KU Leuven","Management","Master's degree"
"t_13","KU Leuven","Computer Science and Electrical Engineering","Bachelor of Science - BS"
"t_14","KU Leuven","European Studies","Master's degree"
"t_14","The London School of Economics and Political Science (LSE)","Economics","Diploma for Graduates (60 ECTS)"
"t_14","Université libre de Bruxelles","Research Neuropsychology","MA"
"t_15","KU Leuven","Statistics","Doctor of Philosophy - PhD"
"t_15","Instituto Tecnológico Autónomo de México","Computer Science","Master’s Degree"
"t_15","Instituto Tecnológico Autónomo de México / ITAM","Applied Mathematics","Bachelor’s Degree"
"t_16","Ironhack","Data Modeling/Warehousing, Database Administration and Machine Learning","Data Analytics"
"t_16","KU Leuven","Master of Business Administration (MSc): Major in Business Information Management","Master's degree"
"t_16","Hanyang University","Business Administration and Management, General","Bachelor of Business Administration - BBA"
"t_17","University of Leuven","Electrical and Electronics Engineering","Doctor of Philosophy (PhD)"
"t_17","Eindhoven University of Technology","Sustainable Energy Technology (SET)","Master of Science (MS)"
"t_17","Politecnico di Torino","Energy and Nuclear Engineering","Master of Science (M.S.)"
"t_18","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_18","Orta Doğu Teknik Üniversitesi / Middle East Technical University","Business Administration","Bachelor's degree"
"t_18","TalTech – Tallinn University of Technology",NA,NA
"t_19","Erasmushogeschool Brussel","Applied Artificial Intelligence","Postgraduate Degree"
"t_19","KU Leuven","Statistics and Data Science ","Master's degree"
"t_19","UGent","Social Sciences","Bachelor of Science - BS"
"t_20","Katholieke Universiteit Leuven","Statistics","Master’s Degree"
"t_20","KU Leuven","Physics","master of PHysics"
"t_21","Fundação Getulio Vargas","Computational and Applied Mathematics","Postdoctorate"
"t_21","KU Leuven","Computational and Applied Mathematics","Postdoctorate"
"t_21","Université de Savoie","Computational and Applied Mathematics","Postdoctorate"
"t_22","Cambridge Spark","Machine learning and AI","Applied Data Science"
"t_22","University of Antwerp","Manama Macro Economics","Applied Economic Science (Adv. MSc)"
"t_22","KU Leuven","Accountancy & Tax","Applied Business Science (MSc)"
"t_23","KU Leuven","Statistics and Data Science for Social, Behavioral and Educational Sciences","Master of Statistics and Data Science"
"t_23","KU Leuven","Theory and Research","Master of Psychology"
"t_23","KU Leuven","Psychology","Bachelor's degree"
"t_24","KU Leuven","Master in Management (Bedrijfskunde), Faculteit Economie en Bedrijfswetenschappen","Master of Science - MBA"
"t_24","KU Leuven",NA,"Creditcontract: Faculteit Economie en Bedrijfswetenschappen"
"t_24","UHasselt","Industriële Ingenieurswetenschappen - Energie/Elektromechanica optie Elektrotechniek (Ir.)","Master of Science"
"t_25","KU Leuven","Artificial Intelligence","Master's degree"
"t_25","SVKM's Narsee Monjee Institute of Management Studies (NMIMS)","Statistics","Master of Science - MS"
"t_25","Ramnarain Ruia College - Mumbai","Statistics","Bachelor of Science - BS"
"t_26","University of Antwerp","Bioinformatics","Doctor of Science"
"t_26","Universiteit Hasselt","Statistical Bioinformatics","Master of Statistics - Bioinformatics"
"t_26","University of Leuven","Biology, General","Master of Science (M.Sc.)"
"t_27","KU Leuven","Mathematical Engineering","Master's degree"
"t_27","National & Kapodistrian University of Athens","Mathematics","Bachelor's degree"
"t_28","Université Claude Bernard Lyon 1","Biomedical/Medical Engineering","Doctor of Philosophy - PhD"
