"employee_id","summary"
"t_1",NA
"t_2","I am a data scientist with a background in mathematics/statistics and solid experience in finance and agriculture sectors. I enjoy solving problems using logical and creative approaches.
Experienced in statistical modeling, consulting, machine learning, experimental design, data management and visualization.
Extensive working experience with R, SAS, Python, SQL."
"t_3","Statistics and Data Science graduate with internship experiences in developing and promoting educational tools for data skills. Excited about developing data-driven digital solutions that can enable businesses to run more efficiently.
Experiences in international settings through education and internships in the US, Europe and Asia. 
Enjoys cycling, traveling, yoga and petting animals.

Skills include:
- Python
- R
- SQL
- Machine Learning"
"t_4","Data Science MSc student and Tutor at the Internationals Relations Office of the University of Bologna.
Now I'm in Leuven, Belgium for an Erasmus exchange period attending a Master in Statistics at KU Leuven.
I am an ambitious  person continuously looking for new challenges to face."
"t_5",NA
"t_6","An analyst with 2+ years of experience with global commercial environments, assisting IT projects from inception to successful launch. Possess problem-solving skills to navigate through complex business issues. Proficient in leveraging Agile methodology to ensure continuous improvement and delivery of projects. A keen communicator with hands-on experience working with cross-functional stakeholders and geographically distributed teams, with the ability to make relations with people at all levels."
"t_7",NA
"t_8",NA
"t_9","I'm a software developer (Java, Spring Boot, Java EE, JavaScript/TypeScript, Angular) at the Belgian Ministry of the Economy. I graduated from Université Libre de Bruxelles (Master degree in economic law) and have a deep interest in new technologies, with a particular focus on understanding how new technologies will transform the legal world.

My interest in new technologies convinced me to enroll in a 4-month Data Science training. At DigitYser, I had the opportunity to learn advanced technologies and their applications and network with Belgium's IT and startup community. I then attended the Master of Intellectual Property and ICT Law at KU Leuven to intensify my knowledge in European IP, ICT, and media law.

I've been working at the Belgian Ministry of the Economy since 2020 as a software engineer. I had the opportunity to work on BTA (Business Travel Abroad) (https://bta.belgium.be) which was launched during the pandemic and allows companies to record business trips to/from Belgium."
"t_10","Actively looking for job opportunities in AI/Machine Learning/Data Analysis/ Data Science Field. 
Along with my Masters degree, I have 4 years of experience working in Financial and Healthcare Domain.
Have good communication skills,team player and quick on the uptake."
"t_11","Economist and Statistician (data scientist). 
Currently working as Teamlead for a Data Science programme based in Mechelen (Belgium). 
Interested in econometrics and machine learning with applications to energy markets and financial engineering. 
Motivated to move into quantitative research/trading."
"t_12","Aspiring Statistician | Traveller | Thinker | Culture & Language Enthusiast | Movie buff
Nagaon, Assam, India 🇮🇳 ✈️🇧🇪 Leuven, Belgium"
"t_13",NA
"t_14","I love getting my hands dirty with the data to provide clean, usable, rich data.

In enterprise contexts this can actually be very difficult to do, and I relish the challenge of wrestling with the governance, applicative and architecture environment to deliver value. With extensive experience in data management and regulatory inspection, I understand practically how to implement data governance in a useful way, and how analytics is at the heart of it.

I aspire to become a leader and I'm mobilising the community of Data Professionals in Belgium (https://www.linkedin.com/groups/12721970/)."
"t_15","Applied mathematician, data scientist, and computer scientist doing a PhD at KU Leuven. My current research focuses on Bayesian optimal experimental design for choice experiments. I have several years of work experience as a data scientist in different industries.

My main interests are data visualization, statistical modeling (particularly Bayesian modeling), market research, choice modeling, and predictive analytics.

Github: https://github.com/mariobecerra
Webpage: www.mariobecerra.com
Blog: http://mariobecerra.github.io/blog/

Hobbies and interests:
• Running: at least once a week for a few kilometers each time
• Skiing: I enjoy this activity very much, even though I am not the best skier out there
• Hiking: going to the forest or mountain with friends or colleagues
• Cycling: I like long-distance road cycling with friends and team members, but I also sometimes do mountain biking
• Bicycle maintenance and mechanics: I like fixing my bikes myself and keeping them in good shape
• Language learning: I learned French mostly on my own, and I am currently taking Dutch lessons
• Reading: mostly non-fiction titles, but also classic and modern novels
• Traveling: I like traveling to different countries and cities to experience new cultures
• Playing guitar: I have been playing for 18 years, and I am taking lessons to improve my technique on classical guitar
• Cooking: being away from my country made me appreciate and learn the recipes of my culture
• Generative art: I started learning how to combine programming and data visualization to create visually appealing images"
"t_16","Account management & New business sales @ TikTok

If you're looking to get started on Tiktok as an advertiser, don't hesitate to contact me through email.
s.vandenbussche@tiktok.com

Cheers,
Seb"
"t_17","My current research interests include large-scale data-driven forecasting and optimization. I am also interested in researching how human behaviour, climate change, and market design will affect the global energy system in the future.

At different points over the previous decade or so, I have worked in computer vision, telecommunications, geophysics and smart grids. The unifying theme across all of these has been a fascination with real-world data, and the endless possibilities it offers."
"t_18",NA
"t_19","Aspiring statistician and data scientist with a strong interest in machine learning and artificial intelligence."
"t_20","As a consultant in the field of Data and Analytics, I accompany Data science teams gain visibility within companies by adopting MLOps principles and practices which accelerates the process of taking machine learning models to production in a reliable and sustainable way. 

You can refer to me as an MLOps enthusiast."
"t_21","Dr. Carlos Pinheiro is a Distinguished Data Scientist at SAS and an Adjunct Faculty at SKEMA Business School USA. He has been working in analytics since 1996, first for Grupo Libra, a Brazilian shipping company, and then for some of the largest telecommunications providers in Brazil. He worked as a Senior Data Scientist for EMC2 in network analytics, optimization and text analytics projects in Brazil, and as a Lead Data Scientist for Teradata in machine learning projects in South America. Dr. Pinheiro has examined business problems in a wide range of departments, including IT/Engineering, Marketing, Customer Care, Sales, Fraud and Finance. Dr. Pinheiro has a B.Sc. in Mathematics and Computer Science, a M.Sc. in Computing and holds a D.Sc. in Engineering from Federal University of Rio de Janeiro (2005). He has accomplished a series of post-Doctoral research terms in different fields, such as in Optimization at IMPA, Brazil (2006-2007), in Social Network Analysis at Dublin City University, Ireland (2008-2009), in Transportation Systems at Université de Savoie, France (2012), in Urban Mobility and Dynamic Social Networks at Katholieke Universiteit Leuven, Belgium (2013-2014) and in Urban Mobility and Multi-modal Traffic at Fundação Getúlio Vargas, Brazil (2014-1015). He has published several papers in international journals and conferences, and he is author of the books Network Science: Analysis and Optimization Algorithms for Real-World Applications (Wiley, 2022), Introduction to Statistical and Machine Learning Methods for Data Science (SAS, 2021), Heuristics in Analytics: A Practical Perspective of What Influence Our Analytical World (Wiley, 2014), and Social Network Analysis in Telecommunications (Wiley, 2011). He also edited the book Exploratory Analysis in Dynamic Social Networks: Theoretical and Practical Applications (iConceptPress, 2012)."
"t_22","Bringing data to the center of customer knowledge"
"t_23",NA
"t_24","Ik werk momenteel als Business Analyst - Data & Artificial Intelligence binnen het Strategy, Analytics and M&A portfolio van Deloitte Consulting. Het doel is het omzetten van data in inzichten voor business. 

Ik ben afgestudeerd als Master of Science in het Management (Bedrijfskunde) met onderscheiding aan de faculteit economie en bedrijfswetenschappen van KU Leuven. Dit kan gezien worden als een MBA. Als master thesis binnen deze opleiding onderzocht ik de impact van 5G op Internet of Things (IoT). Bovendien ben ik afgestudeerd als Master of Science in de Industriële Ingenieurswetenschappen - Energie/Elektromechanica optie Elektrotechniek met onderscheiding aan de gezamenlijke opleiding van Universiteit Hasselt en KU Leuven. Binnen deze opleiding heb ik mijn master thesis uitgevoerd bij IMO-IMOMEC (samenwerking tussen UHasselt en IMEC) met topic: Ontwerp en ontwikkeling van nabij-infraroodupconverters bestaande uit OLED's en OPV’s aan de hand van oplossingsgebaseerde productietechnieken.

Enkele behaalde certificaten: Microsoft Certified Power BI Data Analyst Associate, Microsoft Certified Azure Fundamentals, Qlik Sense Business Analyst & Data Architect, Google Fundamentals of Digital Marketing, Deloitte Business Case, Edx UML Class Diagrams for Software Engineering, etc. 

IT skills: Qlik Sense, Tableau, Microsoft Office Word, PowerPoint, Excel, Access, Azure, Power BI, SQL, ETL, BI, UML, BPMN, CRM, Python, Matlab, StatTools, VBA, PLC, C#, Java, Miro, Arduino, NLP, AutoCAD, Autodesk Inventor, Labview, etc.

Ik ben gebeten door wiskunde, fysica, technologie, onderzoek, data science/analysis, bedrijfseconomie - en management. Levenslang leren en teamwork vind ik zeer belangrijk. Erg geïnteresseerd in jobs zoals business analyst, data analyst, functional analyst, business intelligence (BI) analyst, data visualisation analyst, Qlik Sense/ Tableau/ Power BI consultant,…"
"t_25","Working as an AI Enginner in Brussels-based AI Research company, in the Biometrics Research domain. 
Strong background in Computer Vision, Deep Learning, Statistics, Mathematics, and Python programming with over 4 years of experience designing and implementing end-to-end AI pipelines and leading teams of up to 5 people."
"t_26","Biologist at heart with a passion for machine learning and statistics. Strong research expertise at the cross‑section of biology, statistics and computer science. Eternally curious about how the world works.

- Obtained a PhD focused on applying machine learning methodologies to bioinformatics research questions situated in immunology and systems biology.
- Experience includes molecular interaction prediction through deep learning approaches, transcriptomics, pattern mining, network analysis and phylogenetics. 
- Team player with experience in collaborating in interdisciplinary research environments. 
- Linux aficionado and self‑taught sysadmin. 
- Passionate about scientific rigour and enjoys combining scientific reproducibility with automation, containerization, pipelines and version control. 
- Analytical mind, keen eye for detail. 
- Proactive, dynamic and takes ownership.
- Quick and eager continuous-learner, as well as eager to share knowledge, educate and help others.
- 🏠 https://pmoris.github.io"
"t_27",NA
"t_28","Research Scientist. 
Double PhD on applied ML and DL.
Biomedical Engineer.
"
"t_29","Specialties: Artificial intelligence, Data Science, Software development, Bioinformatics"
"t_30","Junior researcher interested in deep learning for natural language processing for educational tools."
"t_31","""I lack a clear plan when it comes to data.""
""Our technical architecture is not up to speed yet.""
""I want to grow my business with the help of data science.""
""We miss data capabilities in our team.""

If you recognize one (or more) of these statements, I can help you with that. 

At addData we combine knowledge of a CMO’s struggles with the best practices in data science to define and develop the future-proof plan you need.

If you want to talk about how we can help you or your business, don’t hesitate to send me a PM! 🚀

--------------
About me
--------------

I believe combining data insights with marketing strategies and decisions is the future.

Starting off as a Strategic Marketing Management graduate, I felt like I was missing something. 
Although we learned all these amazing techniques to help companies optimize their marketing strategies based on given data ...

... I wanted more.
I wanted to know where the data came from.
 
Next thing you know I specialized myself in Marketing Data Analysis. 

Now here I am, ready to combine my Marketing skills with my skills to analyse customer data to help companies get the most out of their current customers.


Are you ready to start growing your company? Contact me! 🚀"
"t_32","PhD researcher from KU Leuven and Hasselt University.  Bachelor's and master's degree in Statistics and Data Science. I'm interested in developing and applying statistical methodologies to real problems. I'm mainly focused on spatio-temporal methodologies."
"t_33","I love to be challenged, learn new technologies and use data to drive meaningful change.
"
"t_34","More than 8 years of commercial experience, mainly in data science, quantiative finance and commercial finance. 

Industries that I worked are
- Healthcare (Bayer, Roche)
- Banking (HSBC, UBS, SC)
- Airlines (IAG)
- Energy (Shell)
- Manufacturing (IP)
- Semiconductors (Ampleon).

I would call myself as Quant because I would like to perform my job (e.g. model building) rigourously rather than carry out tasks superficially. I am motivated to generate commercial add value / efficiency through combination of quantitative/technical approaches and domain expertise.

If I would be working in data science, I would rather prefer to work on PoC's / from the scratch projects. Yet if the existing projects are interesting and tidy enough, I would not mind to jump into it.

On the other hand, if I would be working in a quantitative analysis role (e.g. in a bank), the project does not necessarily have to be brand new since there are a lot to learn from existing models / projects (regulatory side).

Programing languages that I am proficient are R, Python, SQL, Excel, Shiny.

My soft skills would be; result oriented, honest, proactive, collaborative.
+ Good stakeholder management due to emotional intelligence.

Disclaimer | The statements, views, or opinions expressed in my LinkedIn profile and related articles represent my own views and not those of my employer."
"t_35","Data Scientist with a demonstrated history of working in research and business intelligence. Expertise in Machine Learning, AI, and Statistical Modelling while skilled in Python, R and many data science tool. Strong data professional with Master's degrees in Artificial Intelligence and Statistics from KU Leuven."
"t_36","Statistics, machine learning, and actuarial sciences are my academic and professional fields of expertise. Through previous experience, I have also developed fundamental IT skills. This allows me to implement quantitative projects and explain technical topics to non-technical audiences. I value close collaboration, life-long learning, and solving complex business problems with statistics and mathematics. My professional ambitions lie in a job where I can apply data science on a daily basis – preferably in the fields of AI, IoT or data analytics.

In my projects I used LR, GLM, GAM, ARIMA, density estimation, density aggregation, bootstrapping, Bayesian statistics, clustering, deep learning, machine learning, optimisation.

My software skills are SAS EG (+5y), SAS Viya, R (3y), Matlab, Python (2y), Flask, C (+4y), VBA (2y), SQL (+5y), introduction to Microsoft Azure, and MS-Office. I completed a training in .NET C#, PySpark, Keras and SystemML. Database systems I worked with are Oracle, Teradata and MariaDb."
"t_37","Passionate Six Sigma Green Belt certified Data Analyst with over 4 years of experience working in the payment technology industry. Quick learner, detail-oriented and skilled in Market Research, Data Modelling and Process Improvement. Eager to collaborate in exciting projects and leverage numbers to build a storyline and translate data into actionable insights."
"t_38","As a Master of Statistics and Data Science graduate with extensive experience in SQL and Python programming, I am passionate about data analytics, big data, and machine learning. My expertise in data management, modeling, visualization, and reporting, along with my proficiency in GIS resources and Microsoft Power BI, has enabled me to provide consultation, training, and implementation of technology solutions to clients in various industries, including e-commerce, solution integration, and business intelligence. In addition, I thrive in collaborative and dynamic environments as well as being committed to continuous learning and development, regularly seeking out new skills and knowledge to enhance my professional abilities."
"t_39","Experienced data scientist with a background in statistics, data analysis, mathematical/statistical modelling and scientific computing."
"t_40",NA
"t_41",NA
"t_42","I am a Physicist, with a PhD in nuclear physics. During my PhD, I focused on the benchmarking of the in-gas-jet laser ionization and spectroscopy technique at the Institute for nuclear and radiation physics, KU Leuven. 

After spending previous years studying the nature of the atomic nucleus and novel ways to unveil its characteristics by using lasers and supersonic gas jets, I am widening my horizon and applying my skillset as a Data Scientist.

I have always been fascinated by the principles governing the world around us, hence, my initial interest in physics. I still possess this fascination; complemented now with the desire to take part in the development of new ways or techniques to understand or optimize the things that make the world tick, with the ultimate goal to have, how small it might be, an impact on society. 

My professional passions revolve around research and data analysis, including simulations, modelling, and benchmarking. To do this work, I like to obtain results through a sound and rigorous analysis, I enjoy thinking creatively and critically, questioning the effectiveness of existing methods and studying new ones and I like to solve problems in general. 

For this, I possess a competitive and perseverant mind that does not let go, I learn quickly and happily and I like to dig into new/old problems from different angles, studying the details while trying to keep a clear overview.

During my PhD, I was allowed to enrich these inherent features, while improving my research and analysis skills and adding a healthy amount of realism to the mix. I also became fully aware of the importance of teamwork. I thoroughly enjoy presenting obtained results and discussing mine or other people’s work, as different points of view often result in innovative ideas to tackle the problem at hand. 

Therefore, in my job as a data scientist, I am combining those technical and communicational capabilities, while improving my management skills along the way, working in a multi-disciplinary team that is focused on getting the job done, allowing, however, time for creativity and critical thinking."
"t_43",NA
"t_44","Research psychologist and applied statistician with an interest in data science."
"t_45",NA
"t_46","I like solving problems and learning statistics by helping other people to learn: https://stats.stackexchange.com/users/109328/

MSc. in Data Science and MSc. in Economics. Previously working as Risk Analyst and Research Assistant at the European Central Bank."
"t_47","I am a Machine Learning Engineer with an experience in Natural Language Processing (NLP), Computer Vision and fraud detection projects. I like learning new things in machine learning such as new domains, and state-of-the-art models. At the end of this learning journey, I am interested in putting them into production by having an impact in the real world."
"t_48","Data Scientist with professional experience in applied machine learning on different sectors: financial services, telecommunications, technology, and people analytics.

I also work part-time as a data science instructor teaching the following topics: Python, SQL, data manipulation, data visualization, descriptive statistics, supervised and unsupervised algorithms, natural language processing, neural networks, web scraping, among others.

I have a bachelor's degree in Engineering and two specializations in Data Science and Big Data Analytics. I'm currently pursuing a master's degree in Statistics and Data Science at Katholieke Universiteit Leuven.

I have experience with Python, R, SQL, SAS, Spark, PowerBI, Git, Tensorflow, Agile Methodologies."
"t_49","MSc. Statistics and Data Science, with an emphasis in biostatistics. My primary interests lay within the clinical research sector, where my biostatistical knowledge and passion for public health intersect.

Currently working with CluePoints and our proprietary risk-based quality management software for monitoring clinical trial data - to ensure that clinical trials are being conducted properly at all study sites and regions, and to quickly identify and mitigate potential risks to study viability and patient safety."
"t_50","Experienced Data Scientist and Machine Learning Engineer with a demonstrated history of working in the computer software industry. Skilled in Software Development, Statistical Inference, Bayesian Statistics. Strong engineering professional with a Master of Science (M.Sc.) focused in Machine Learning and Deep Learning. Experience with front-end and back-end development and data visualization."
"t_51","Many clinicians are struggling with the increasing administrative burden but 
tools are lacking to support structured data capturing. 

Tiro.health is a software company that empowers clinicians in taking medical notes and provides truly real world data.

Our app is trying to break down health data silos and building on the next generation API-enabled EHRs using the latest interoperability technologies like FHIR, SNOMED CT. With our clinician-focused application, I want to build bridges between health tech developers and medical doctors."
"t_52",NA
"t_53","Mathematician, Computer Engineer and Artificial Intelligence specialist. I am a hardworking, dedicated and enthusiastic person. Extroverted, respectful and with great social skills very useful for group dynamics. Agile in solving problems, with ease to provide new points of view. Independent, proactive and creative. Leadership skills to promote new initiatives and identify and exploit people strengths."
"t_54","Applied Machine Learning Researcher experienced with developing deep learning and other machine learning methods for time-series, text, and engineering design data. 
- Transferable skills: Effective communication with different stakeholders and project management. 
- Technology stack: PyTorch, Scikit-learn, fastText, Pandas, Numpy, Scipy, ONNX Runtime, Poetry. 
- Programming languages: Python, and Julia. "
"t_55",NA
"t_56","Data Consultant @ dataroots working @ KBC as a Cloud and Data Engineer. From Warsaw, currently living in Belgium.

Contact: ignacyklimont@protonmail.com"
"t_57",NA
"t_58",NA
"t_59",NA
"t_60","Specialties: biostatistics, bioinformatics, human genetics"
"t_61","•	PhD with 8+ years of experience in data analytics
•	Fast learner with strong critical thinking, analytical and problem-solving skills with advanced knowledge of Power BI and experience working in Databricks using Python, R and SQL
•	Excellent team player with a proven track record of multitasking, task prioritization, effective communication and strong interpersonal skills"
"t_62","A researcher looking forward to reaching beyond the disciplinary bubbles and integrating the social dimension into environmental engineering."
"t_63","I have ten years of experience combined in IT industry and research environment. My main focus for the past few years was on research and development of state-of-the-art machine learning techniques in the field of computer vision regarding the risk mitigation for autonomous systems. I worked on design of innovative strategies as an effective way to improve machine learning resilience to errors. I've also dedicated lot of my time to research and development of machine learning models to answer and improve business questions and logic. 

In my earlier career, I have worked as a tech-lead with tasks as introduction of a clear instructions for the team on a daily basis and creating end goals, training and mentorship to junior team members and identify and encourage areas for growth within the team."
"t_64","Me = f(minimalism, digital marketing, data-driven decisions, numerical storyteller)
I am a professional bridging data science and marketing management. I solve business problems and approach opportunities in a solid customer-centric, results-oriented, data-driven way. I’d like to act straightforwardly and efficiently.
Proficient in digital marketing, performance marketing, online advertising, business reporting, data analysis, marketing data modeling, web analytics, personalized advertising, and ROI optimization. I am experienced in marketing project management, agency management, and budget management.
I am looking for a position blending (digital) marketing and data analysis as a specialist, a management consultant, or at a junior managerial level. I am ready to oversee budgets, KPIs, competition, digital transformation, and team management."
"t_65",NA
"t_66",NA
"t_67",NA
"t_68",NA
"t_69","Strong foundation in statistical modelling, data analysis, machine learning and risk analysis. I have a Master's in Statistics (Business track) from KU Leuven, and a bachelors in Actuarial and Financial mathematics, specialising in statistical mathematics. Proficient in python, SQL, R, and SAS."
"t_70","Data scientist with interests in deep learning applications. I have strong expertise in machine learning projects developed from both academia and industry. Research-oriented and passionate for innovating."
"t_71",NA
"t_72","Experienced engineer with a PhD in bioscience engineering and a demonstrated history of working in the biotechnology industry. Skilled in Multivariate statistics, Spectroscopy, Metabolics. Strong research professional with a Master’s Degree focused in Bio-science Engineering from the University of Leuven. Besides being interested in fundamental science, practical real live implementations are an important drive for his work. Main interests are the environment, mobility and music technology.
"
"t_73","Hi, I'm Tim. 

I'm a consultant with a deep interest in Data Analysis/Visualisation, Statistics and Technology. If you have data that needs to be gathered, analyzed or visualized, then chances are, you are looking for me.




"
"t_74",NA
"t_75","I'm a Machine Learning Engineer at Arralyze where I train and deploy deep learning model to automatize processes to identify and track small objects (cells). 
During my PhD, I've worked with several omics of biological data and developed an R package to identify breakpoints in one dimensional sequencing data."
"t_76","Passionate Data Scientist and Computer Vision/Machine Learning Engineer with over 10 years of multidisciplinary experience. Strong commitment to collaborative and innovative problem-solving with high standards of communication, management and leadership.

http://www.dourthe-technologies.com
http://www.github.com/bendourthe"
"t_77",NA
"t_78","I am a transdisciplinary data-driven professional that blends the use of data, statistics, and social research. I
expertly blend statistical and social research to drive data-informed decisions, offering a strong technical and methodological background for unparalleled accuracy. I bring enthusiasm and innovation to teams, inspiring colleagues to excel, and I empower their business decisions through insightful analyses, custom reports/dashboards, and hands-on coaching."
"t_79","Bharat Ram Ammu is a Head Data Science Consultant with extensive experience in the field of Machine Learning, Anti Money Laundering, Banking, Compliance, and Artificial Intelligence. He is skilled in R, Python, SAS, SQL, Neo4j, HTML, JavaScript, Spark, Asana, Kubeflow, Docker, and Google Cloud. Bharat has designed and deployed an MLOps platform with explainable AI for narrative generation and an in-built model monitoring dashboard deployed in the cloud for two use cases in Financial Crime Risk Reduction (FCRR) - Ex-ante Sanctions Screening Optimisation (TLS) and Name Screening Optimisation (NSO).

He has contributed to Complidata being the best AI startup of the year 2019 at DISummit and among the top 10 rising star startups of Belgium in Deloitte fast 50 competition. Additionally, he has experience in writing clean, well-documented code that is easy to understand and maintain. Bharat has experience in testing code thoroughly, including unit testing and integration testing, and writing test cases to cover edge cases. He has also worked on deploying code to production, using containerization technologies (Docker), and deploying to cloud platforms (AWS, GCP).

Bharat holds a Master's degree in Statistics from KATHOLIEK UNIVERSITIET LEUVEN, Belgium, and has undertaken externally certified courses in Deep Learning, Network Analysis in Python, Building Web Applications in R with Shiny, and more. He values transparency and accountability, belief in efficient teamwork, commitment to work, and adding value to production."
