,company
0,264431
1,14355
2,15175410
3,7283
4,10180429
5,15137301
6,402261
7,5524
8,5106
9,15106709
10,2413397
11,60812
12,60812
13,22496462
14,23759382
15,3088610
16,1823638
17,17898462
18,166626
19,3316450
20,10331945
21,5239202
22,4827017
23,114306
24,164665
25,14287
26,1883983
27,166626
28,14803666
29,285447
30,17908204
31,22496462
32,27221633
33,675376
34,11048731
35,11048731
36,11048731
37,79138562
38,255100
39,22291262
40,165919
41,2756754
42,806496
43,806496
44,18300949
45,9475549
46,294635
47,17908204
48,254851
49,11521185
50,11521185
51,5382086
52,5019508
53,110177
54,9298743
55,12980582
56,166626
57,11187618
58,34914
59,5900834
60,18196973
61,18196973
62,18018421
63,79138562
64,14803666
65,11550894
66,220653
67,220653
68,11453978
69,52905
70,5003417
71,9280353
72,23213889
73,5304425
74,224187
75,13050299
76,27139
77,15215643
78,17965881
79,7234
80,359542
81,9509
82,2043990
83,5900834
84,17908204
85,17908204
86,5343852
87,23322804
88,15248522
89,806496
90,806496
91,10913417
92,17831
93,4160
94,166639
95,165742
96,291462
97,17947
98,5320918
99,3540
100,17863
101,78923
102,15143497
103,556237
104,5046700
105,5046700
106,10169278
107,1140611
108,17908204
109,11550894
110,48518
111,10903602
112,1457849
113,166626
114,166626
115,1074869
116,1117986
117,4815646
118,17947
119,27139
120,402261
121,200709
122,97190
123,1523089
124,1523089
125,1523089
126,1523089
127,1523089
128,138225
129,138225
130,138225
131,5272565
132,5272565
133,16809
134,18854642
135,11022827
136,1431241
137,17992
138,17992
139,2756754
140,2756754
141,166704
142,10180429
143,17908204
144,167444
145,18196973
146,3540
147,17908204
148,17908204
149,27130
150,27130
151,5272565
152,15092601
153,17908204
154,4815
155,7955638
156,17999377
157,63772
158,17908204
159,18888538
160,5679
161,2756754
162,22414751
163,24994030
164,132045
165,6609672
166,19682272
167,233636
168,10368773
169,17961498
170,32471
171,22464000
172,1564852
173,936282
174,1275857
175,1523089
176,7513
177,26195
178,26195
179,26195
180,15092539
181,13260512
182,74284749
183,34969451
184,4160
185,39604
186,463111
187,740718
188,851049
189,5012731
190,207470
191,496370
192,17947
193,3225
194,86580848
195,15143953
196,64964422
197,222306
198,222306
199,3072220
200,3072220
201,5380477
202,10854260
203,18196973
204,796538
205,71480249
206,11012141
207,11012141
208,1398634
209,1398634
210,166529
211,5229519
212,18196973
213,460058
214,64818698
215,460058
216,460058
217,903758
218,903758
219,151183
220,4815
221,15094126
222,17908204
223,2075116
224,8586
225,8586
226,14066022
227,6638763
228,17947
229,15093461
230,134444
231,1564852
232,4160
233,18196973
234,10325340
235,10325340
236,56403294
237,56403294
238,8586
239,4923
240,36076
241,2340783
242,18118192
243,2485854
244,12577073
245,5260058
246,29552
247,50100
248,1692224
249,5106
250,5387757
251,570870
252,3521203
253,3521203
254,10115392
255,570870
256,3273282
257,27314
258,79738763
259,11486158
260,11486158
261,11486158
262,52363
263,11193683
264,2459671
265,354553
266,354553
267,354553
268,4815
269,1084
270,22577526
271,22577526
272,13845
273,17901629
274,18196973
275,5229519
276,15932
277,1069814
278,15098251
279,525187
280,23029289
281,28423178
282,24417330
283,1084
284,769728
285,633973
286,5362097
287,5362097
288,5362097
289,5362097
290,79738763
291,5178019
292,42078
293,1406996
294,687472
295,687472
296,2157
297,83510
298,29870
299,29870
300,29870
301,229256
302,3716554
303,18903742
304,1823638
305,1823638
306,1823638
307,157311
308,687472
309,687472
310,43304299
311,79138562
312,214442
313,555666
314,17908204
315,230549
316,9277885
317,9277885
318,9277885
319,18294957
320,354553
321,354553
322,354553
323,570870
324,2515234
325,1626432
326,1643243
327,66719
328,66719
329,66719
330,66719
331,66719
332,98788
333,1571457
334,10454183
335,10388427
336,33449
337,33449
338,271455
339,215142
340,11373576
341,18051947
342,23272
343,1913697
344,1069814
345,1069814
346,9277885
347,2295430
348,2295430
349,11486158
350,11486158
351,11486158
352,10130508
353,10130508
354,10130508
355,18196973
356,11193683
357,18083
358,25133282
359,11486158
360,2854935
361,11295954
362,17908204
363,26195
364,525187
365,525187
366,795501
367,4815
368,4815
369,1239399
370,1239399
371,20558056
372,11724771
373,17947
374,262695
375,18196973
376,18196973
377,4838118
378,4838118
379,20790
380,757392
381,4815
382,33449
383,2043990
384,4815
385,2043990
386,166743
387,4815
388,166743
